instance family sequential-d2-induced-except-0 sequential-d2-induced-except-1 sequential-d2-induced-except-2 sequential-d2-induced-except-3 sequential-d2-induced-except-4 sequential-d2-induced-except-5
F.04 1 139 151 142 151 141 147
C.18 1 1501 2653 30647 1000001 8084 1000002
A.04 1 23 48 257 58 83 60
C.02 1 1752 10735 508368 126205 285155 10788
E.01 1 150 131 158 137 135 150
F.20 1 179 167 146 141 167 150
B.20 1 467 941 11792 2290 9934 1082
C.08 1 1384 12457 1000002 31488 106350 4282
B.11 1 352 1185 9424 1000000 261096 9977
C.10 1 1443 1000002 28947 10611 495540 1000003
B.06 1 365 581 1028 60632 32867 169131
F.08 1 144 143 147 146 146 154
B.07 1 371 18029 81021 688315 21467 1000000
E.04 1 137 139 133 136 136 141
C.01 1 1382 54036 3452 193955 180630 1000002
B.10 1 353 1074 12594 447621 7030 1698
A.15 1 23 31 78 34 291 143
C.19 1 1514 28265 1000002 1000001 1000002 1000002
B.02 1 442 508 2750 2608 15026 622272
E.06 1 133 131 135 163 144 167
E.18 1 137 133 132 145 144 139
C.20 1 1437 3192 1000003 1000002 1000002 1000003
F.02 1 156 139 142 143 208 181
F.11 1 137 136 144 141 156 141
F.12 1 140 139 168 166 141 158
E.05 1 133 186 133 136 134 138
B.16 1 353 466 1505 1849 1000001 2980
A.08 1 22 37 34 37 52 42
C.14 1 1530 70275 10967 19780 1000003 1000002
F.16 1 153 164 164 168 145 144
F.06 1 141 140 142 142 141 137
A.03 1 22 31 33 43 261 38
E.19 1 129 136 131 171 133 151
C.15 1 1398 8672 5158 1000002 591150 7505
A.16 1 23 50 327 44 672 94
B.14 1 421 462 103106 267018 1118 4467
A.02 1 22 48 38 37 49 68
F.14 1 147 138 140 168 149 160
F.05 1 139 156 141 143 191 140
B.09 1 355 1398 12668 839 469621 2604
A.01 1 28 32 35 49 42 106
C.05 1 1389 2194 5217 1000003 1000002 1000002
B.01 1 352 2203 785 1138 2604 168330
A.09 1 23 46 33 84 41 53
A.07 1 22 28 97 43 51 36
F.03 1 137 137 166 141 141 146
E.12 1 156 133 134 151 134 134
C.06 1 1696 15053 1000002 1000002 91095 27287
C.09 1 1368 5528 10314 1000003 13824 462715
B.17 1 357 1232 200427 868525 21782 197694
C.07 1 1556 6139 452913 1000002 28016 7244
E.09 1 166 151 135 135 147 183
E.17 1 141 133 158 160 151 145
C.11 1 1355 309126 42915 4326 211601 1000002
F.10 1 130 129 135 190 133 134
A.17 1 22 30 195 34 56 70
B.15 1 355 798 601 893 766 2984
E.03 1 152 130 131 152 152 130
F.19 1 137 149 160 191 174 189
A.12 1 22 27 187 40 400 780
B.08 1 365 1363 16504 1790 7525 225406
F.17 1 178 139 174 142 140 171
C.04 1 1540 10239 2649 86729 8109 1000004
B.19 1 351 1571 6891 37124 35726 27109
C.16 1 1510 3952 92902 1000003 1000001 282653
C.17 1 1436 2439 1000002 38309 222805 22154
E.08 1 176 151 160 132 153 155
F.13 1 142 142 144 143 141 139
A.20 1 22 44 46 38 36 96
E.02 1 146 131 132 131 150 133
E.16 1 144 164 183 134 133 179
B.12 1 384 622 3418 7232 8080 125333
F.09 1 185 147 158 143 141 144
A.10 1 23 47 1272 38 45 97
F.18 1 143 142 141 150 148 145
E.10 1 155 137 193 140 155 140
A.06 1 23 37 250 100 121 144
E.15 1 132 130 146 133 150 138
E.07 1 151 131 159 172 131 147
E.11 1 132 130 171 144 145 206
B.03 1 435 10773 1472 5549 1527 79577
B.18 1 366 9337 1411 21867 1054 44314
C.03 1 1353 25824 3691 1000002 1000001 1000003
A.18 1 23 28 40 53 163 38
F.15 1 138 161 139 139 138 136
A.19 1 28 68 81 54 88 585
C.12 1 1348 27758 11804 1000003 23338 1000002
B.05 1 378 558 6467 12199 1252 650
A.13 1 22 33 48 142 271 71
A.05 1 22 27 34 37 280 446
F.01 1 137 138 138 172 171 135
E.20 1 133 131 132 157 141 203
B.13 1 360 1915 3748 1060 1515 1760
A.14 1 23 33 33 118 71 192
B.04 1 397 2812 32541 387345 3489 631
C.13 1 1352 43711 35344 17824 1000002 21980
F.07 1 157 137 156 148 141 139
E.13 1 132 151 134 148 133 134
E.14 1 134 133 133 135 145 252
A.11 1 23 40 35 56 142 67
si6_r005_m400.07 7 5741 2957 2016 1531 1224 4540
si6_r005_m400.00 7 4503 3197 4854 1766 2068 3384
si6_r005_m400.01 7 2011 3237 3497 4131 10193 11389
si6_r005_m400.02 7 1804 1186 5624 1608 1683 4376
si6_r005_m400.04 7 1710 2498 5652 2567 1562 4602
si6_r005_m400.05 7 7501 4675 1615 5979 1285 7226
si6_r005_m400.09 7 1117 1308 3134 10283 1629 1727
si6_r005_m400.03 7 3421 2169 1499 1672 1174 3287
si6_r005_m400.06 7 1252 5035 2607 1758 1624 4680
si6_r005_m400.08 7 1849 3725 5749 3050 7097 1430
si6_m4Dr6_m625.04 6 251 314 288 420 1073 1942
si6_m4Dr6_m625.01 6 309 273 336 469 1244 413
si6_m4Dr6_m625.09 6 278 284 414 1325 702 450
si6_m4Dr6_m625.07 6 283 352 468 619 1435 532
