instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5
F.04 1 152 277 8973 17243 58949 1000000
C.18 1 842 1583 157390 1000002 16145 1000002
A.04 1 15 38 920 55 89 50
C.02 1 862 11924 1000001 199307 431510 7736
E.01 1 146 108 721 116271 1000001 1000000
F.20 1 246 5320 593849 1000000 491152 1000000
B.20 1 243 733 18044 1742 9476 812
C.08 1 979 12070 1000002 30465 262048 4203
B.11 1 259 846 9128 1000001 1000001 56326
C.10 1 865 1000002 32004 1000003 1000003 1000003
B.06 1 217 354 983 156520 73901 1000001
F.08 1 226 2311 139457 1000000 1000000 1000000
B.07 1 217 31293 136878 1000001 38282 1000001
E.04 1 108 248 40156 1000000 1000000 1000000
C.01 1 826 61946 2243 684280 156065 1000001
B.10 1 254 723 14520 1000001 6078 2538
A.15 1 16 23 81 25 704 162
C.19 1 854 47419 1000003 1000002 1000003 1000002
B.02 1 217 292 2184 2164 62670 1000001
E.06 1 109 222 13263 564823 1000000 1000000
E.18 1 112 107 156 6247 145165 1000000
C.20 1 1007 2611 1000002 1000003 1000002 1000001
F.02 1 115 205 6865 156203 1000000 1000000
F.11 1 122 153 166 472 722 89911
F.12 1 131 134 271 1118 13544 71047
E.05 1 110 1000000 1000000 1000000 1000000 1000000
B.16 1 243 310 1259 2499 1000000 4137
A.08 1 14 27 25 29 41 58
C.14 1 944 118254 8912 2360 1000002 1000002
F.16 1 118 166 389 20315 190912 1000000
F.06 1 168 492 6942 511902 1000000 1000000
A.03 1 14 22 23 33 328 29
E.19 1 107 115 109 122 108 12098
C.15 1 862 7447 3821 1000002 1000002 4027
A.16 1 15 45 600 30 1124 99
B.14 1 217 261 219309 660611 722 5890
A.02 1 15 28 24 24 39 64
F.14 1 114 127 197 222 1941 52350
F.05 1 114 176 1257 16792 139754 1000000
B.09 1 220 1689 19749 473 1000001 3654
A.01 1 15 23 26 48 27 210
C.05 1 943 1140 4056 1000001 1000002 1000002
B.01 1 226 1657 585 1289 3511 671346
A.09 1 15 39 23 66 32 43
A.07 1 15 20 145 40 80 26
F.03 1 113 145 521 6504 33931 523771
E.12 1 139 123 110 301098 1000000 1000000
C.06 1 839 15132 1000002 1000003 142960 24406
C.09 1 998 6062 40187 1000002 17411 754514
B.17 1 234 1052 1000000 1000001 31387 569489
C.07 1 912 4776 566666 1000002 29977 5336
E.09 1 116 108 1479 424033 1000000 1000000
E.17 1 110 44584 1000000 1000000 1000000 1000000
C.11 1 1013 493253 87089 3465 1000002 1000002
F.10 1 107 107 111 2651 638511 1000000
A.17 1 15 21 208 23 52 86
B.15 1 215 523 350 651 506 2563
E.03 1 107 115 334 20538 988680 1000000
F.19 1 118 188 576 1727 45541 241600
A.12 1 14 18 182 31 683 1998
B.08 1 229 1151 96357 1546 6474 831059
F.17 1 125 178 927 172936 1000000 1000000
C.04 1 828 12743 1829 1000002 169474 1000003
B.19 1 217 1164 8488 64785 34621 189116
C.16 1 892 19838 79601 1000002 1000002 357055
C.17 1 878 1632 1000001 41849 716961 25526
E.08 1 109 108 52630 1000000 1000000 1000000
F.13 1 159 678 22591 907699 1000000 1000000
A.20 1 15 34 88 28 26 73
E.02 1 109 108 111 24256 1000000 1000000
E.16 1 129 108 153 1000000 1000000 1000000
B.12 1 218 594 3004 9995 41214 461239
F.09 1 168 818 13328 137664 1000000 1000000
A.10 1 15 39 3021 28 34 109
F.18 1 122 351 2959 226795 1000000 1000000
E.10 1 112 199 632 2490 364608 1000000
A.06 1 15 29 431 153 102 88
E.15 1 108 2777 446648 1000000 1000000 1000000
E.07 1 115 109 439 11946 286778 1000000
E.11 1 115 1600 67308 1000000 1000000 1000000
B.03 1 219 15688 1517 1130 1111 1000000
B.18 1 215 9810 6846 239709 802 97909
C.03 1 832 28541 2716 1000003 1000002 1000003
A.18 1 15 19 34 46 247 30
F.15 1 115 134 212 3578 10567 332895
A.19 1 15 69 79 50 109 929
C.12 1 848 29074 11026 1000002 25188 1000003
B.05 1 215 332 8541 27074 1005 403
