instance family
F.04 1 174
C.18 1 967
A.04 1 15
C.02 1 843
E.01 1 1000000
F.20 1 314
B.20 1 218
C.08 1 821
B.11 1 232
C.10 1 848
B.06 1 217
F.08 1 243
B.07 1 231
E.04 1 1000000
C.01 1 850
B.10 1 215
A.15 1 15
C.19 1 1046
B.02 1 234
E.06 1 1000000
E.18 1 1000000
C.20 1 826
F.02 1 125
F.11 1 124
F.12 1 162
E.05 1 1000000
B.16 1 224
A.08 1 14
C.14 1 901
F.16 1 127
F.06 1 142
A.03 1 14
E.19 1 1000000
C.15 1 891
A.16 1 15
B.14 1 216
A.02 1 15
F.14 1 136
F.05 1 124
B.09 1 274
A.01 1 15
C.05 1 826
B.01 1 327
A.09 1 20
A.07 1 14
F.03 1 123
E.12 1 1000000
C.06 1 838
C.09 1 821
B.17 1 219
C.07 1 828
E.09 1 1000000
E.17 1 1000000
C.11 1 915
F.10 1 1000000
A.17 1 15
B.15 1 215
E.03 1 1000000
F.19 1 123
A.12 1 14
B.08 1 216
F.17 1 149
C.04 1 827
B.19 1 220
C.16 1 821
C.17 1 832
E.08 1 1000000
F.13 1 195
A.20 1 14
E.02 1 1000000
E.16 1 1000000
B.12 1 343
F.09 1 146
A.10 1 14
F.18 1 142
E.10 1 122
A.06 1 18
E.15 1 1000000
E.07 1 1000000
E.11 1 1000000
B.03 1 234
B.18 1 214
C.03 1 848
A.18 1 14
F.15 1 134
A.19 1 20
C.12 1 820
B.05 1 296
A.13 1 14
A.05 1 15
F.01 1 124
E.20 1 1000000
B.13 1 214
A.14 1 15
B.04 1 219
C.13 1 912
F.07 1 155
E.13 1 1000000
E.14 1 1000000
A.11 1 19
si6_r005_m400.07 7 14443
si6_r005_m400.00 7 7943
si6_r005_m400.01 7 4240
si6_r005_m400.02 7 2927
si6_r005_m400.04 7 4516
si6_r005_m400.05 7 17599
si6_r005_m400.09 7 1913
si6_r005_m400.03 7 7851
si6_r005_m400.06 7 2396
si6_r005_m400.08 7 4233
si6_m4Dr6_m625.04 6 147
si6_m4Dr6_m625.01 6 151
si6_m4Dr6_m625.09 6 148
si6_m4Dr6_m625.07 6 144
si6_m4Dr6_m625.00 6 174
si6_m4Dr6_m625.08 6 192
si6_m4Dr6_m625.05 6 143
si6_m4Dr6_m625.06 6 141
si6_m4Dr6_m625.02 6 156
si6_m4Dr6_m625.03 6 144
si4_m4Dr2_m625.09 6 101
si4_m4Dr2_m625.04 6 138
si4_m4Dr2_m625.02 6 94
si4_m4Dr2_m625.07 6 91
si4_m4Dr2_m625.00 6 95
si4_m4Dr2_m625.08 6 96
si4_m4Dr2_m625.01 6 96
si4_m4Dr2_m625.06 6 95
si4_m4Dr2_m625.03 6 100
si4_m4Dr2_m625.05 6 101
si2_r001_m600.00 7 312
si2_r001_m600.06 7 586
si2_r001_m600.04 7 613
si2_r001_m600.07 7 292
si2_r001_m600.02 7 152
si2_r001_m600.08 7 954
si2_r001_m600.03 7 25680
si2_r001_m600.01 7 71
si2_r001_m600.05 7 221
si2_r001_m600.09 7 1475
si2_m4Dr2_m256.09 6 7
si2_m4Dr2_m256.03 6 42
si2_m4Dr2_m256.04 6 8
si2_m4Dr2_m256.07 6 8
si2_m4Dr2_m256.00 6 7
si2_m4Dr2_m256.06 6 24
si2_m4Dr2_m256.08 6 6
si2_m4Dr2_m256.05 6 6
si2_m4Dr2_m256.01 6 7
si2_m4Dr2_m256.02 6 9
si6_r001_m600.09 7 245
si6_r001_m600.00 7 206
si6_r001_m600.07 7 210
si6_r001_m600.03 7 191
si6_r001_m600.01 7 250
si6_r001_m600.06 7 176
si6_r001_m600.08 7 199
si6_r001_m600.02 7 183
si6_r001_m600.04 7 173
si6_r001_m600.05 7 182
si2_m4Dr2_m1296.05 6 328
si2_m4Dr2_m1296.09 6 348
si2_m4Dr2_m1296.02 6 763
si2_m4Dr2_m1296.07 6 332
si2_m4Dr2_m1296.00 6 321
si2_m4Dr2_m1296.06 6 487
si2_m4Dr2_m1296.08 6 345
si2_m4Dr2_m1296.01 6 344
si2_m4Dr2_m1296.03 6 357
si2_m4Dr2_m1296.04 6 328
si4_b06m_m800.08 4 178
si4_b06m_m800.00 4 178
si4_b06m_m800.06 4 190
si4_b06m_m800.05 4 169
si4_b06m_m800.04 4 170
si4_b06m_m800.09 4 171
si4_b06m_m800.01 4 174
si4_b06m_m800.07 4 178
si4_b06m_m800.03 4 187
si4_b06m_m800.02 4 203
si6_m4Dr2_m625.08 6 142
si6_m4Dr2_m625.09 6 225
si6_m4Dr2_m625.05 6 147
si6_m4Dr2_m625.01 6 127
si6_m4Dr2_m625.06 6 138
si6_m4Dr2_m625.00 6 215
si6_m4Dr2_m625.03 6 137
si6_m4Dr2_m625.02 6 216
si6_m4Dr2_m625.07 6 168
si6_m4Dr2_m625.04 6 142
si2_m4D_m1296.01 5 348
si2_m4D_m1296.08 5 289
si2_m4D_m1296.06 5 476
si2_m4D_m1296.05 5 264
si2_m4D_m1296.09 5 283
si2_m4D_m1296.03 5 354
si2_m4D_m1296.07 5 273
si2_m4D_m1296.02 5 278
si2_m4D_m1296.04 5 420
si2_m4D_m1296.00 5 280
si4_b03_m800.05 3 222
si4_b03_m800.00 3 210
si4_b03_m800.08 3 252
si4_b03_m800.09 3 216
si4_b03_m800.03 3 208
si4_b03_m800.02 3 220
si4_b03_m800.04 3 227
si4_b03_m800.01 3 214
si4_b03_m800.06 3 264
si4_b03_m800.07 3 212
si6_m4D_m1296.02 5 871
si6_m4D_m1296.07 5 1662
si6_m4D_m1296.05 5 872
si6_m4D_m1296.09 5 1897
si6_m4D_m1296.00 5 2188
si6_m4D_m1296.08 5 862
si6_m4D_m1296.04 5 831
si6_m4D_m1296.06 5 1826
si6_m4D_m1296.01 5 1665
si6_m4D_m1296.03 5 11099
si6_r001_m200.05 7 10
si6_r001_m200.09 7 10
si6_r001_m200.07 7 10
si6_r001_m200.02 7 11
si6_r001_m200.01 7 9
si6_r001_m200.00 7 8
si6_r001_m200.04 7 9
si6_r001_m200.06 7 9
si6_r001_m200.08 7 11
si6_r001_m200.03 7 11
si4_b06_m400.06 3 50
si4_b06_m400.07 3 39
si4_b06_m400.09 3 39
si4_b06_m400.01 3 39
si4_b06_m400.04 3 39
si4_b06_m400.03 3 39
si4_b06_m400.00 3 54
si4_b06_m400.05 3 39
si4_b06_m400.08 3 40
si4_b06_m400.02 3 39
si2_m4Dr6_m256.06 6 7
si2_m4Dr6_m256.05 6 7
si2_m4Dr6_m256.09 6 7
si2_m4Dr6_m256.00 6 7
si2_m4Dr6_m256.07 6 7
si2_m4Dr6_m256.04 6 8
si2_m4Dr6_m256.02 6 7
si2_m4Dr6_m256.01 6 9
si2_m4Dr6_m256.08 6 15
si2_m4Dr6_m256.03 6 9
si6_r01_m200.04 7 981
si6_r01_m200.08 7 674
si6_r01_m200.02 7 2330
si6_r01_m200.09 7 8870
si6_r01_m200.07 7 913
si6_r01_m200.00 7 1056
si6_r01_m200.01 7 22126
si6_r01_m200.03 7 4015
si6_r01_m200.05 7 5753
si6_r01_m200.06 7 4427
si2_b03m_m800.03 4 79
si2_b03m_m800.02 4 77
si2_b03m_m800.09 4 111
si2_b03m_m800.04 4 81
si2_b03m_m800.06 4 77
si2_b03m_m800.05 4 80
si2_b03m_m800.01 4 81
si2_b03m_m800.08 4 81
si2_b03m_m800.07 4 81
si2_b03m_m800.00 4 78
si2_r001_m200.06 7 6460
si2_r001_m200.01 7 5
si2_r001_m200.02 7 5
si2_r001_m200.07 7 6
si2_r001_m200.04 7 5
si2_r001_m200.05 7 28
si2_r001_m200.09 7 5
si2_r001_m200.03 7 4
si2_r001_m200.00 7 4
si2_r001_m200.08 7 7
si6_b03m_m800.01 4 250
si6_b03m_m800.08 4 281
si6_b03m_m800.03 4 265
si6_b03m_m800.00 4 244
si6_b03m_m800.04 4 280
si6_b03m_m800.05 4 247
si6_b03m_m800.07 4 284
si6_b03m_m800.06 4 246
si6_b03m_m800.09 4 240
si6_b03m_m800.02 4 242
si4_r005_m200.00 7 518
si4_r005_m200.08 7 94
si4_r005_m200.02 7 87
si4_r005_m200.05 7 133
si4_r005_m200.06 7 88
si4_r005_m200.04 7 1135
si4_r005_m200.07 7 327
si4_r005_m200.09 7 300
si4_r005_m200.01 7 228
si4_r005_m200.03 7 226
si6_b09m_m400.03 4 56
si6_b09m_m400.07 4 68
si6_b09m_m400.00 4 78
si6_b09m_m400.04 4 56
si6_b09m_m400.06 4 74
si6_b09m_m400.08 4 54
si6_b09m_m400.02 4 56
si6_b09m_m400.05 4 76
si6_b09m_m400.09 4 56
si6_b09m_m400.01 4 60
si2_b09_m200.08 3 6
si2_b09_m200.01 3 6
si2_b09_m200.06 3 8
si2_b09_m200.05 3 6
si2_b09_m200.00 3 6
si2_b09_m200.02 3 8
si2_b09_m200.03 3 6
si2_b09_m200.04 3 6
si2_b09_m200.09 3 6
si2_b09_m200.07 3 8
si6_r01_m600.02 7 830421
si6_r01_m600.06 7 819259
si6_r01_m600.09 7 410480
si6_r01_m600.08 7 1000001
si6_r01_m600.05 7 782779
