instance family
F.04 1 152
C.18 1 1440
A.04 1 22
C.02 1 1326
E.01 1 1000000
F.20 1 152
B.20 1 345
C.08 1 1486
B.11 1 467
C.10 1 1399
B.06 1 423
F.08 1 185
B.07 1 510
E.04 1 1000000
C.01 1 1421
B.10 1 491
A.15 1 22
C.19 1 1352
B.02 1 418
E.06 1 1000000
E.18 1 1000000
C.20 1 1366
F.02 1 151
F.11 1 152
F.12 1 163
E.05 1 1000000
B.16 1 350
A.08 1 22
C.14 1 1342
F.16 1 150
F.06 1 151
A.03 1 22
E.19 1 1000000
C.15 1 1567
A.16 1 23
B.14 1 376
A.02 1 23
F.14 1 150
F.05 1 149
B.09 1 344
A.01 1 22
C.05 1 1318
B.01 1 342
A.09 1 22
A.07 1 22
F.03 1 149
E.12 1 1000000
C.06 1 1340
C.09 1 1476
B.17 1 343
C.07 1 1392
E.09 1 1000000
E.17 1 1000000
C.11 1 1426
F.10 1 1000000
A.17 1 22
B.15 1 340
E.03 1 1000000
F.19 1 146
A.12 1 23
B.08 1 340
F.17 1 148
C.04 1 1333
B.19 1 338
C.16 1 1313
C.17 1 1351
E.08 1 1000000
F.13 1 152
A.20 1 22
E.02 1 1000000
E.16 1 1000000
B.12 1 343
F.09 1 151
A.10 1 22
F.18 1 152
E.10 1 148
A.06 1 22
E.15 1 1000000
E.07 1 1000000
E.11 1 1000000
B.03 1 487
B.18 1 341
C.03 1 1314
A.18 1 22
F.15 1 148
A.19 1 22
C.12 1 1430
B.05 1 373
A.13 1 22
A.05 1 22
F.01 1 147
E.20 1 1000000
B.13 1 338
A.14 1 23
B.04 1 440
C.13 1 1567
F.07 1 147
E.13 1 1000000
E.14 1 1000000
A.11 1 23
si6_r005_m400.07 7 11028
si6_r005_m400.00 7 8991
si6_r005_m400.01 7 3886
si6_r005_m400.02 7 3440
si6_r005_m400.04 7 3372
si6_r005_m400.05 7 14337
si6_r005_m400.09 7 2198
si6_r005_m400.03 7 6961
si6_r005_m400.06 7 2528
si6_r005_m400.08 7 4292
si6_m4Dr6_m625.04 6 258
si6_m4Dr6_m625.01 6 267
si6_m4Dr6_m625.09 6 241
si6_m4Dr6_m625.07 6 236
si6_m4Dr6_m625.00 6 288
si6_m4Dr6_m625.08 6 250
si6_m4Dr6_m625.05 6 293
si6_m4Dr6_m625.06 6 234
