instance family sequential-d2-induced-except-0 sequential-d2-induced-except-1 sequential-d2-induced-except-2 sequential-d2-induced-except-3 sequential-d2-induced-except-4 sequential-d2-induced-except-5 sequential-d2-induced-except-10 sequential-d2-induced-except-20
F.04 1 166 165 169 246 236 171 200 1007
C.18 1 2325 3253 33464 1000002 9287 1000002 3421 1000003
A.04 1 27 59 272 65 111 84 79 5124
C.02 1 2156 12313 530400 132699 297281 12136 727274 1000003
E.01 1 157 173 164 179 171 163 1045 1000000
F.20 1 166 166 167 168 166 165 159 234
B.20 1 682 1455 12298 2444 10793 1400 45117 1000001
C.08 1 2037 13491 1000002 33465 111247 5153 803879 1000004
B.11 1 574 1419 10153 1000000 272797 11041 42768 1392
C.10 1 2097 1000002 31790 11987 519177 1000002 1000003 6870
B.06 1 586 880 1358 63727 34916 175179 138042 77945
F.08 1 196 220 222 182 229 247 168 354
B.07 1 590 19201 85278 721400 22966 1000001 1000001 1000001
E.04 1 156 157 159 170 172 178 1510 1000000
C.01 1 2033 57518 4503 202648 188525 1000003 1000002 4231
B.10 1 667 1304 13308 470260 7534 2129 630126 1000001
A.15 1 25 37 123 53 289 150 7817 775
C.19 1 2089 29482 1000003 1000004 1000003 1000003 1000002 10848
B.02 1 555 763 3025 3194 15962 651518 1000001 273611
E.06 1 160 157 166 163 169 193 6046 1000000
E.18 1 158 156 156 155 155 166 8184 1000001
C.20 1 2178 4105 1000003 1000001 1000002 1000003 1000003 18222
F.02 1 166 175 184 170 230 248 181 672
F.11 1 163 163 165 167 166 168 166 345
F.12 1 166 165 167 168 166 167 173 202
E.05 1 161 160 160 204 160 188 4046 1000000
B.16 1 557 786 1912 2081 1000001 3404 5051 1000003
A.08 1 35 42 55 59 58 66 77 660
C.14 1 2061 74356 11843 21814 1000002 1000002 1000002 1000003
F.16 1 165 163 167 169 171 170 164 452
F.06 1 169 167 168 168 166 164 160 610
A.03 1 24 37 39 48 227 45 52 7110
E.19 1 155 176 157 157 157 155 166 402185
C.15 1 1998 9916 6228 1000002 616063 8549 1000002 1000004
A.16 1 25 61 339 46 688 116 496 461
B.14 1 554 714 108020 283327 1291 4814 831899 575910
A.02 1 24 43 40 41 56 72 65 198
F.14 1 164 164 168 167 167 166 166 835
F.05 1 165 165 168 169 170 168 168 297
B.09 1 562 1640 13452 1054 462253 2911 2600 957421
A.01 1 38 53 55 54 43 133 148 1285
C.05 1 1991 2686 6402 1000002 1000002 1000002 733754 198218
B.01 1 558 2337 1117 1464 3029 177171 13112 81872
A.09 1 24 52 39 72 47 59 550 429
A.07 1 24 34 103 50 57 43 1445 221
F.03 1 164 163 165 167 173 191 161 747
E.12 1 159 158 160 160 160 232 1084 1000000
C.06 1 2203 16423 1000002 1000003 95341 28800 1000002 1000003
