instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
F.04 1 147 313 9572 18473 62976 1000000 1000000 1000000
C.18 1 1369 2376 165722 1000002 17628 1000002 2394 1000004
A.04 1 16 43 982 86 94 54 55 12105
C.02 1 1369 12939 1000001 209490 449239 8902 1000002 1000004
E.01 1 151 130 761 131654 1000000 1000000 1000000 1000000
F.20 1 266 5465 635424 1000000 525514 1000000 1000000 1000000
B.20 1 365 968 18896 2091 10303 944 131910 1000002
C.08 1 1344 13341 1000002 32541 275060 5210 1000002 1000006
B.11 1 355 1055 9821 1000001 1000001 61544 258536 878
C.10 1 1391 1000003 33597 1000002 1000002 1000002 1000003 625019
B.06 1 343 553 1026 166914 77571 1000001 293209 181660
F.08 1 215 2824 148061 1000000 1000000 1000000 1000000 1000000
B.07 1 345 34218 144145 1000001 40356 1000001 1000002 1000002
E.04 1 129 198 44877 1000000 1000000 1000000 1000000 1000001
C.01 1 1353 64558 3103 719027 165275 1000004 1000002 18936
B.10 1 379 1055 15505 1000002 6658 2843 1000002 1000002
A.15 1 24 28 85 29 697 166 20413 960
C.19 1 1423 51272 1000002 1000003 1000003 1000002 1000004 8582
B.02 1 342 488 2433 2451 65492 1000001 1000001 1000001
E.06 1 148 282 14038 600388 1000001 1000000 1000000 1000000
E.18 1 129 141 174 6574 154802 1000000 1000000 1000000
C.20 1 1419 3554 1000002 1000002 1000001 1000002 1000005 74226
F.02 1 136 236 7349 166368 1000000 1000000 1000000 1000001
F.11 1 136 163 190 503 783 95926 1000000 1000001
F.12 1 145 142 283 1096 14880 74254 1000000 1000001
E.05 1 132 1000000 1000000 1000000 1000000 1000000 1000000 1000001
B.16 1 345 466 1489 2810 1000001 4583 4770 1000001
A.08 1 15 30 29 32 44 56 51 3239
C.14 1 1376 125952 10265 3167 1000002 1000004 1000003 1000004
F.16 1 139 176 317 22598 212501 1000000 1000000 1000000
F.06 1 149 494 7367 550119 1000000 1000000 1000000 1000000
A.03 1 15 26 27 36 344 32 52 18830
E.19 1 125 125 136 135 126 10713 1000000 1000001
C.15 1 1351 8495 4837 1000002 1000002 5023 1000002 1000002
A.16 1 23 62 644 34 1198 113 2337 550
B.14 1 404 449 233706 701218 912 6010 1000001 1000001
A.02 1 15 32 37 39 43 59 78 723
F.14 1 142 148 214 225 2082 57573 1000000 1000000
F.05 1 135 199 1342 17873 148795 1000000 1000000 1000000
B.09 1 424 1921 21149 694 1000000 4033 1797 1000002
A.01 1 15 27 30 52 31 220 103 3379
C.05 1 1337 1904 4979 1000002 1000002 1000003 1000003 1000007
B.01 1 345 1961 773 1556 4161 710530 14593 214369
A.09 1 15 42 27 73 47 62 1009 3067
A.07 1 15 33 134 42 84 30 4380 225
F.03 1 135 166 544 7091 37833 575620 1000000 1000001
E.12 1 138 130 131 305169 1000000 1000000 1000000 1000000
C.06 1 1654 16450 1000001 1000002 151565 26068 1000003 1000003
C.09 1 1346 7105 42867 1000002 19136 794405 95819 1000003
B.17 1 348 1355 1000000 1000001 33268 597384 216199 1000001
C.07 1 1356 5709 593928 1000002 32118 6426 1000002 1000003
E.09 1 128 128 1644 457214 1000000 1000000 1000000 1000000
E.17 1 130 49998 1000000 1000000 1000000 1000000 1000001 1000001
C.11 1 1362 522777 92214 4305 1000004 1000003 1000002 3500
F.10 1 128 127 130 2833 679407 1000000 1000000 1000000
A.17 1 24 25 218 28 56 84 84 25094
B.15 1 342 749 581 759 730 2787 3227 2430
E.03 1 128 127 338 22136 1000000 1000000 1000000 1000000
