instance family sequential-induced-except-0-pf sequential-induced-except-0-pd sequential-d2-induced-except-0-pf sequential-d2-induced-except-0-pd sequential-induced-except-1-pf sequential-induced-except-1-pd sequential-d2-induced-except-1-pf sequential-d2-induced-except-1-pd sequential-induced-except-2-pf sequential-induced-except-2-pd sequential-d2-induced-except-2-pf sequential-d2-induced-except-2-pd sequential-induced-except-3-pf sequential-induced-except-3-pd sequential-d2-induced-except-3-pf sequential-d2-induced-except-3-pd
F.04 1 988070 129932 988070 130261 990019 123826 990019 125138 990535 119202 990535 121265 991003 116146 991003 118056
C.18 1 997380 12253 997145 33315 997711 11736 997711 11930 997864 11597 997864 11597 997865 11829 997865 11829
A.04 1 986893 61996 985176 150839 988999 59293 988999 63741 989413 58597 989413 58704 989372 59396 989372 59396
C.02 1 997236 12814 997086 34771 997828 12053 997828 12237 997845 11917 997845 11917 997915 12157 997915 12157
E.01 1 988940 146237 988940 146474 989445 141095 989445 141559 989971 138862 989971 139492 990446 135766 990446 136350
F.20 1 989719 131592 989719 132062 990301 126901 990301 127863 990757 123498 990757 124738 991203 122712 991203 123779
B.20 1 995539 20568 995307 54227 996171 19625 996171 20171 996506 19750 996506 19756 996497 19745 996497 19745
C.08 1 997254 12652 997028 34515 997659 12116 997659 12306 997797 11654 997797 11654 997857 11954 997857 11954
B.11 1 995594 20889 995106 55396 996198 19695 996198 20176 996438 19887 996438 19887 996527 19582 996527 19582
C.10 1 997495 12328 997264 34032 997665 11904 997665 12109 997967 11937 997967 11937 997777 12052 997777 12052
B.06 1 995363 20982 995122 54830 996226 19809 996226 20326 996327 19509 996327 19514 996478 19861 996478 19861
F.08 1 989080 123977 989080 124010 989923 119982 989923 120111 990407 117976 990407 118223 990923 116250 990923 116580
B.07 1 995596 20525 995346 54592 996245 19675 996245 20247 996434 19776 996434 19776 996528 19801 996528 19801
E.04 1 988103 138071 988103 138183 989181 134114 989181 134422 989757 130447 989757 131028 990164 127287 990164 127811
C.01 1 997291 12570 996969 34552 997809 12006 997809 12254 997771 11858 997771 11858 997825 11699 997825 11699
B.10 1 995662 21115 994938 55632 996179 19872 996179 20411 996461 19983 996461 20002 996474 20286 996474 20286
A.15 1 987182 58971 984900 139141 988835 56559 988835 60462 989356 56540 989356 56663 989544 57106 989544 57106
C.19 1 997321 12657 997151 34019 997728 11820 997728 12055 997865 11865 997865 11871 997815 12083 997815 12083
B.02 1 995653 21025 994858 57150 996365 19861 996365 20488 996422 19723 996422 19728 996455 20061 996455 20061
