instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
F.04 1 988989 36396 988989 36520 990755 36584 990755 37111 991183 37016 991183 38012 991514 37625 991514 38650 991746 38184 991746 38854 991764 39100 991764 39471 992171 43286 992171 43288 992333 51137 992333 51137
C.18 1 997380 5466 997145 26242 997711 5568 997711 5762 997864 5652 997864 5652 997865 5946 997865 5946 997937 5876 997937 5876 997900 5890 997900 5890 997833 5839 997833 5839 997833 5839 997833 5839
A.04 1 986893 27388 985176 117966 988999 27899 988999 32524 989413 28736 989413 28846 989372 29732 989372 29732 989387 29394 989387 29394 989502 29355 989502 29355 989598 29376 989598 29376 989598 29376 989598 29376
C.02 1 997236 5715 997086 27702 997828 5744 997828 5929 997845 5744 997845 5744 997915 6098 997915 6098 997835 5977 997835 5977 997911 6085 997911 6085 997833 6060 997833 6060 997833 6060 997833 6060
E.01 1 989831 40140 989831 40244 990433 41134 990433 41380 990693 42173 990693 42521 990947 43003 990947 43348 991271 43829 991271 44110 991353 45045 991353 45220 991970 49971 991970 49974 992337 59045 992337 59045
F.20 1 990701 36776 990701 37008 991008 37319 991008 37850 991337 38467 991337 39233 991514 39625 991514 40346 991743 40240 991743 40772 991906 41049 991906 41338 992305 45986 992305 45995 992444 54952 992444 54952
B.20 1 995539 9130 995307 42961 996171 9307 996171 9862 996506 9634 996506 9640 996497 9811 996497 9811 996460 9870 996460 9870 996460 9840 996460 9840 996403 9780 996403 9780 996403 9780 996403 9780
C.08 1 997254 5469 997028 27376 997659 5708 997659 5898 997797 5630 997797 5630 997857 5968 997857 5968 997867 6055 997867 6055 997806 5974 997806 5974 997833 6214 997833 6214 997833 6214 997833 6214
B.11 1 995594 9276 995106 43648 996198 9273 996198 9760 996438 9674 996438 9674 996527 9704 996527 9704 996413 10143 996413 10143 996471 9755 996471 9755 996403 9945 996403 9945 996403 9945 996403 9945
C.10 1 997495 5363 997264 27172 997665 5642 997665 5848 997967 5887 997967 5887 997777 6034 997777 6034 997839 5887 997839 5887 997863 5942 997863 5942 997833 5918 997833 5918 997833 5918 997833 5918
B.06 1 995363 9445 995122 43530 996226 9254 996226 9773 996327 9458 996327 9463 996478 9988 996478 9988 996419 9983 996419 9983 996500 9986 996500 9986 996403 10077 996403 10077 996403 10077 996403 10077
F.08 1 990164 30794 990164 30812 990799 31941 990799 32006 991203 32760 991203 32898 991189 33661 991189 33849 991382 34338 991382 34526 991633 35449 991633 35585 991958 39415 991958 39426 992365 48042 992365 48042
B.07 1 995596 9068 995346 43550 996245 9338 996245 9915 996434 9612 996434 9612 996528 9921 996528 9921 996480 9833 996480 9833 996468 9943 996468 9943 996403 9923 996403 9923 996403 9923 996403 9923
E.04 1 989499 39593 989499 39649 990289 40216 990289 40392 990589 41693 990589 41993 991070 42664 991070 43004 991294 43074 991294 43343 991464 44639 991464 44863 991876 48972 991876 48977 992333 57390 992333 57390
C.01 1 997291 5546 996969 27494 997809 5622 997809 5872 997771 5891 997771 5891 997825 5851 997825 5851 997822 5991 997822 5991 997923 5973 997923 5973 997833 6031 997833 6031 997833 6031 997833 6031
B.10 1 995662 9276 994938 43837 996179 9298 996179 9845 996461 9749 996461 9768 996474 10124 996474 10124 996460 10071 996460 10071 996446 10087 996446 10087 996403 9982 996403 9982 996403 9982 996403 9982
A.15 1 987182 26216 984900 108928 988835 26789 988835 30821 989356 27813 989356 27942 989544 28310 989544 28310 989568 28748 989568 28748 989297 28486 989297 28486 989598 28403 989598 28403 989598 28403 989598 28403
C.19 1 997321 5506 997151 26746 997728 5505 997728 5741 997865 5780 997865 5786 997815 6058 997815 6058 997786 5934 997786 5934 997847 5917 997847 5917 997833 5934 997833 5934 997833 5934 997833 5934
