instance family sequential-d2-induced-except-0 sequential-d2-induced-except-1 sequential-d2-induced-except-2 sequential-d2-induced-except-3 sequential-d2-induced-except-4 sequential-d2-induced-except-5
F.04 1 188 238 246 254 170 177
C.18 1 2131 4269 148469 13808 1000006 16332
A.04 1 33 54 97 771 946 360
C.02 1 1923 4863 262721 641463 45493 1000011
E.01 1 203 221 217 210 162 160
F.20 1 209 243 259 248 172 227
B.20 1 518 1727 157487 8661 31049 36370
C.08 1 2242 3268 509814 10241 272679 34954
B.11 1 559 980 3279 19736 2667 689063
C.10 1 2166 6082 1000007 34877 211984 1000005
B.06 1 565 827 2520 519330 14763 14547
F.08 1 155 220 172 174 198 177
B.07 1 465 1024 470560 16006 118258 312835
E.04 1 190 206 215 159 193 160
C.01 1 2037 3300 245407 1000003 1000002 1000006
B.10 1 537 1094 52371 8271 3374 16874
A.15 1 24 53 1100 207 1189 522
C.19 1 1683 29823 884865 355916 1000003 1000003
B.02 1 409 1428 4391 39864 11172 128418
E.06 1 150 165 159 171 169 231
E.18 1 143 214 165 147 179 152
C.20 1 1985 4146 297913 1000005 1000006 825674
F.02 1 144 155 165 169 173 171
F.11 1 194 204 170 213 163 164
F.12 1 146 186 162 171 166 202
E.05 1 160 161 161 157 156 151
B.16 1 424 2360 3913 7321 4038 8833
A.08 1 21 51 51 338 109 117
C.14 1 1744 4233 215714 1000003 1000007 1000004
F.16 1 143 154 195 170 252 174
F.06 1 184 227 219 228 178 159
A.03 1 22 57 543 615 1508 890
E.19 1 150 147 212 154 153 148
C.15 1 1701 2932 7552 14416 1000003 38432
A.16 1 24 85 82 2445 2318 345
B.14 1 417 1027 691103 94295 1784 9365
A.02 1 22 91 53 107 114 297
F.14 1 140 152 168 162 164 160
F.05 1 149 168 200 171 265 183
B.09 1 428 1339 599430 1000001 12813 565234
A.01 1 33 69 748 1506 113 361
C.05 1 1652 2767 6451 75477 11257 604779
B.01 1 455 660 1843 3402 82418 1000002
A.09 1 22 32 136 166 3745 87
A.07 1 22 92 207 244 1388 309
F.03 1 140 150 157 162 163 159
E.12 1 155 158 161 161 161 176
C.06 1 1742 4779 149690 1000004 49529 1000005
C.09 1 1774 6501 13403 26083 1000004 1000007
B.17 1 489 2414 18747 184221 321669 89359
C.07 1 1714 3184 1000003 89751 657078 1000002
E.09 1 146 154 159 162 161 160
E.17 1 154 158 159 156 172 158
C.11 1 1721 4784 1000002 33743 1000003 1000008
F.10 1 144 149 156 159 159 159
A.17 1 32 56 83 92 16198 3111
B.15 1 415 604 6557 1000003 8739 115664
E.03 1 143 149 199 205 186 148
F.19 1 142 217 181 162 161 156
A.12 1 22 31 44 103 381 307
B.08 1 417 657 23292 26839 15607 19081
F.17 1 143 155 163 166 167 164
C.04 1 1707 2345 651926 1000004 1000004 32514
B.19 1 412 805 963 126633 67641 15752
C.16 1 1679 2837 1000001 559969 251171 1000007
C.17 1 1781 4620 79297 1000005 1000004 1000008
E.08 1 156 158 158 157 155 150
F.13 1 156 164 171 174 167 162
A.20 1 22 45 80 275 270 319
E.02 1 156 157 157 155 154 150
E.16 1 155 172 163 175 160 153
B.12 1 541 706 17610 6754 2672 1000002
F.09 1 149 158 166 170 170 167
A.10 1 22 45 51 533 436 370
F.18 1 146 156 165 174 179 175
E.10 1 155 149 184 166 182 165
A.06 1 32 252 252 147 614 334
E.15 1 164 151 153 152 154 151
E.07 1 149 153 167 174 153 151
E.11 1 152 153 152 148 150 149
B.03 1 428 1392 41935 101248 43869 337394
B.18 1 408 2989 40777 2246 4790 1000002
C.03 1 1686 4562 24605 1000003 1000008 39995
A.18 1 32 99 73 417 124 97
F.15 1 139 151 157 158 158 156
A.19 1 32 50 140 2351 641 1979
C.12 1 1669 3523 16299 1000006 1000005 1000002
B.05 1 408 706 19868 2749 3784 73127
A.13 1 22 45 151 228 1436 220
A.05 1 22 27 214 157 1385 1735
F.01 1 136 149 157 160 159 154
E.20 1 220 152 156 157 157 154
B.13 1 406 662 1827 2747 13549 3155
A.14 1 23 166 1007 246 663 735
B.04 1 425 3491 10767 3055 968454 1000000
C.13 1 1721 103797 494710 1000005 1000006 1000005
F.07 1 144 154 163 168 167 165
E.13 1 151 170 159 159 159 158
E.14 1 155 157 157 154 229 159
A.11 1 22 38 106 816 217 515
si6_r005_m400.07 7 15073 8305 6964 6927 5534 18804
si6_r005_m400.00 7 12938 9841 14302 6271 8051 11599
si6_r005_m400.01 7 5988 8098 10886 14289 35212 39473
si6_r005_m400.02 7 4672 4767 17335 6254 7610 18076
si6_r005_m400.04 7 5507 6478 19110 9410 7610 18507
si6_r005_m400.05 7 18494 15902 6081 19092 5486 25646
si6_r005_m400.09 7 3276 5020 10590 30591 7232 8399
si6_r005_m400.03 7 11040 7765 5722 6436 4955 14623
si6_r005_m400.06 7 3740 15898 7828 5037 6892 13961
si6_r005_m400.08 7 4518 8366 18218 10942 26923 6329
si6_m4Dr6_m625.04 6 307 428 564 586 978 3397
si6_m4Dr6_m625.01 6 246 321 412 988 795 1128
si6_m4Dr6_m625.09 6 277 351 905 2150 1087 9010
si6_m4Dr6_m625.07 6 264 347 526 4993 1316 8905
si6_m4Dr6_m625.00 6 273 394 532 586 10715 7456
si6_m4Dr6_m625.08 6 295 340 535 2340 1046 16908
si6_m4Dr6_m625.05 6 266 337 683 6168 11993 1192
si6_m4Dr6_m625.06 6 259 320 466 873 819 1200
si6_m4Dr6_m625.02 6 284 396 1213 614 1328 1327
si6_m4Dr6_m625.03 6 257 338 1036 5442 3906 5543
si4_m4Dr2_m625.09 6 184 655 4957 5994 3815 41928
si4_m4Dr2_m625.04 6 195 1149 3269 18657 11614 4861
si4_m4Dr2_m625.02 6 169 194 294 576 6694 7366
si4_m4Dr2_m625.07 6 161 246 1353 868 1127 12764
si4_m4Dr2_m625.00 6 193 298 540 6078 655 681
si4_m4Dr2_m625.08 6 174 1065 595 5781 1631 1355
si4_m4Dr2_m625.01 6 188 425 1552 1341 20264 13325
si4_m4Dr2_m625.06 6 170 545 1774 3762 31757 7134
si4_m4Dr2_m625.03 6 200 743 319 5031 2123 2076
si4_m4Dr2_m625.05 6 184 1289 4822 18784 22024 1229
si2_r001_m600.00 7 572 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.06 7 545 1000000 1000000 1000001 1000000 1000001
si2_r001_m600.04 7 1095 1000000 134623 1000001 1000000 1000000
si2_r001_m600.07 7 373 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.02 7 218 639972 1000000 1000000 1000000 1000000
si2_r001_m600.08 7 935 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.03 7 399 1000000 1000000 1000000 1000000 1000001
si2_r001_m600.01 7 140 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.05 7 261 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.09 7 1439 1000000 1000000 1000000 1000000 1000000
si2_m4Dr2_m256.09 6 12 260 111 201 419 262
si2_m4Dr2_m256.03 6 113 14471 1423 1185 229 215
si2_m4Dr2_m256.04 6 14 26 230 169 375 301
si2_m4Dr2_m256.07 6 16 58 153 756 97 37573
si2_m4Dr2_m256.00 6 12 360 1065 2068 630 1757
si2_m4Dr2_m256.06 6 34 105 30 25 349 87
si2_m4Dr2_m256.08 6 11 16 131 713 210 1880
si2_m4Dr2_m256.05 6 11 15 314 826 1179 498
si2_m4Dr2_m256.01 6 12 117 638 46 219 171
si2_m4Dr2_m256.02 6 16 149 53 1065 1222 334
si6_r001_m600.09 7 347 553 573752 21711 356485 1000001
si6_r001_m600.00 7 437 8303 9697 50992 1000001 1000001
si6_r001_m600.07 7 447 1023 37797 1262 206140 20515
si6_r001_m600.03 7 396 2327 346891 315576 1000002 21571
si6_r001_m600.01 7 355 2124 1110 81549 129268 137717
si6_r001_m600.06 7 354 2039 42683 1292 10411 49592
si6_r001_m600.08 7 426 15502 1000001 1000001 1000000 351817
si6_r001_m600.02 7 362 448 1267 18063 3793 3726
si6_r001_m600.04 7 382 53456 162629 118411 197345 4638
si6_r001_m600.05 7 363 4463 250689 398665 164184 210252
si2_m4Dr2_m1296.05 6 763 2333 16811 14046 31544 116433
si2_m4Dr2_m1296.09 6 793 4089 77677 62765 102651 14582
si2_m4Dr2_m1296.02 6 1085 94965 236714 180753 265971 942664
si2_m4Dr2_m1296.07 6 765 3823 18648 88019 12650 27600
si2_m4Dr2_m1296.00 6 741 943 2599 9899 76638 90114
si2_m4Dr2_m1296.06 6 794 21942 8752 192175 22676 29821
si2_m4Dr2_m1296.08 6 817 50035 154343 1000002 152138 1000002
