instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
F.04 1 238 661 22224 38819 142003 1000000 1000000 1000000
C.18 1 1362 3001 285169 16117 1000002 15413 7480 1000010
A.04 1 18 58 81 1753 1199 448 175 38674
C.02 1 1013 4586 694826 1000006 86222 1000004 1000005 1000008
E.01 1 163 176 176 36906 1000000 1000000 1000000 1000000
F.20 1 675 12812 1000000 1000000 1000000 1000000 1000000 1000001
B.20 1 211 1047 429413 8578 78321 38999 669834 1000002
C.08 1 1224 1846 1000005 9167 402899 49806 1000006 1000007
B.11 1 257 533 4009 70307 2290 1000001 1000001 2809
C.10 1 1230 4849 1000005 100453 1000002 1000003 1000006 1000009
B.06 1 208 491 2237 1000002 17950 15422 1000001 860082
F.08 1 411 5068 290465 1000000 1000000 1000000 1000000 1000000
B.07 1 259 671 1000002 17697 118746 1000001 1000003 1000001
E.04 1 195 273 10485 589571 1000000 1000001 1000000 1000000
C.01 1 1286 2098 1000004 1000003 1000007 1000003 1000003 89014
B.10 1 230 670 76844 8151 2934 19166 1000001 1000003
A.15 1 14 48 1519 287 1479 619 75286 3006
C.19 1 844 47560 1000004 1000006 1000005 1000006 1000004 48929
B.02 1 206 1277 5063 172355 11896 353367 1000002 1000001
E.06 1 138 306 7721 145070 1000000 1000000 1000000 1000000
E.18 1 131 147 144 3462 63500 551583 1000000 1000000
C.20 1 1069 2211 623697 1000005 1000004 1000006 1000004 495138
F.02 1 135 304 11416 315785 1000000 1000000 1000000 1000000
F.11 1 176 257 311 587 602 48453 1000001 1000000
F.12 1 180 179 256 1162 19477 116062 1000000 1000001
E.05 1 146 1000000 1000000 1000000 1000000 1000000 1000001 1000001
B.16 1 208 2167 13144 48097 4174 71814 23581 1000004
A.08 1 12 37 35 429 77 179 130 10775
C.14 1 816 2922 481191 1000006 1000004 1000006 1000005 1000008
F.16 1 134 245 348 21019 232433 1000001 1000001 1000000
F.06 1 225 730 15418 1000000 1000000 1000000 1000001 1000001
A.03 1 12 46 661 823 1798 1391 146 74008
E.19 1 134 140 193 133 130 122 1000000 1000000
C.15 1 968 1865 6776 12736 1000003 59149 1000006 1000006
A.16 1 13 90 70 4950 5344 400 8247 1643
B.14 1 228 865 1000000 186957 1435 9943 1000003 1000002
A.02 1 13 91 38 91 98 228 262 2435
F.14 1 127 164 265 282 3214 94137 1000000 1000001
F.05 1 142 324 1764 26502 257078 1000000 1000000 1000000
B.09 1 210 1729 1000001 1000002 19074 992334 8063 1000003
