instance family sequential-induced-nofilter-except-0 sequential-induced-nofilter-except-1 sequential-induced-nofilter-except-2 sequential-induced-nofilter-except-3
F.04 1 1343 691 679 645
C.18 1 135109 27673 1000002 1000006
A.04 1 57 205 1049 156
C.02 1 165960 1000004 1000003 684698
E.01 1 4 3 1647 2411
F.20 1 672 852 847 523
B.20 1 86944 37689 111195 10365
C.08 1 1000005 1000003 1000005 139858
B.11 1 2191 32862 413438 1000000
C.10 1 1000005 1000003 103627 52586
B.06 1 6994 13459 10560 296471
F.08 1 1174 3598 4221 1627
B.07 1 14742 1000002 741864 1000002
E.04 1 4 1031 2171 3272
C.01 1 1000006 1000006 115152 978954
B.10 1 6275 1381 56320 1000002
A.15 1 142 774 297 64
C.19 1 1000006 1000003 1000004 1000005
B.02 1 23921 1000002 1400 10881
E.06 1 4 1021 2202 2894
E.18 1 5 3 416 832
C.20 1 1000002 1000003 1000005 1000002
F.02 1 2692 945 940 599
F.11 1 540 1132 536 363
F.12 1 833 1637 646 620
E.05 1 4 661 1492 1936
B.16 1 1570 16446 30329 6932
A.08 1 293 52 64 66
C.14 1 19968 1000003 22892 66425
F.16 1 912 1376 3271 770
F.06 1 1609 2927 990 1029
A.03 1 390 135 59 88
E.19 1 4 3 4 5
C.15 1 1000003 37392 1000006 1000006
A.16 1 121 283 1214 74
B.14 1 1000001 52686 1000001 1000001
A.02 1 136 88 53 53
F.14 1 408 355 269 248
F.05 1 1313 1057 1334 778
B.09 1 7780 169446 952038 1788
A.01 1 197 793 60 106
C.05 1 377997 780559 1000002 1000006
B.01 1 778426 30654 3289 3903
A.09 1 164 159 60 176
A.07 1 252 675 341 90
F.03 1 804 459 543 382
E.12 1 5 5 5 740
C.06 1 243729 279521 1000002 1000002
C.09 1 33855 826680 1000005 1000003
B.17 1 76339 1000003 1000001 1000003
C.07 1 1000005 19880 1000002 1000004
E.09 1 4 3 972 1755
E.17 1 4 609 1273 1799
C.11 1 1000004 1000006 612945 14924
F.10 1 5 3 4 587
A.17 1 66 10432 2068 48
B.15 1 7625 1000001 2045 1956
E.03 1 4 3 462 787
F.19 1 547 1216 602 608
A.12 1 85 681 1882 68
B.08 1 128148 69189 567613 7287
F.17 1 2131 782 1489 823
C.04 1 1000004 401383 12500 425690
B.19 1 25774 9832 26388 153691
C.16 1 1000002 468833 467412 1000007
C.17 1 1000005 190748 1000001 199532
E.08 1 5 5 769 1557
F.13 1 875 786 500 544
A.20 1 127 135 114 60
E.02 1 4 3 4 729
E.16 1 4 3 4 591
B.12 1 1000000 2080 9022 33346
F.09 1 1012 861 767 603
A.10 1 415 166 7938 70
F.18 1 802 1506 1408 981
E.10 1 3416 5673 1014 654
A.06 1 117 146 2448 241
E.15 1 4 474 948 1475
E.07 1 4 3 482 882
E.11 1 4 422 887 1372
B.03 1 16857 46059 4507 20912
B.18 1 1767 1263 6207 96265
C.03 1 460977 1000003 141676 1000002
A.18 1 161 53 96 159
F.15 1 618 839 357 415
A.19 1 263 111 334 154
C.12 1 1000002 1000006 76587 1000006
B.05 1 146022 870194 72726 49900
A.13 1 196 138 134 490
A.05 1 85 49 69 55
F.01 1 909 1029 929 639
E.20 1 4 689 1393 2026
B.13 1 47133 1122 17700 3854
A.14 1 458 154 59 334
B.04 1 31771 345436 680420 1000002
C.13 1 115196 249344 1000001 77021
F.07 1 870 426 402 465
E.13 1 5 4 4 4
E.14 1 4 554 1037 1773
A.11 1 53 448 70 167
si6_r005_m400.07 7 35948 23288 9301 23703
si6_r005_m400.00 7 27827 20345 40968 9779
si6_r005_m400.01 7 17200 10379 23436 28796
si6_r005_m400.02 7 9066 36104 29448 8766
si6_r005_m400.04 7 14614 9891 29832 13961
si6_r005_m400.05 7 50763 45452 7817 29511
si6_r005_m400.09 7 7216 7694 29807 39085
si6_r005_m400.03 7 22642 10750 10072 46688
si6_r005_m400.06 7 8418 25433 29027 7077
si6_r005_m400.08 7 9765 12742 33364 52823
si6_m4Dr6_m625.04 6 877 989 903 1292
si6_m4Dr6_m625.01 6 810 1208 926 1389
si6_m4Dr6_m625.09 6 872 2459 1503 5465
si6_m4Dr6_m625.07 6 1006 1119 790 1879
si6_m4Dr6_m625.00 6 880 1541 1128 959
si6_m4Dr6_m625.08 6 1200 920 1134 872
si6_m4Dr6_m625.05 6 942 1461 31283 1020
si6_m4Dr6_m625.06 6 892 1035 957 980
si6_m4Dr6_m625.02 6 1008 1015 1257 1614
si6_m4Dr6_m625.03 6 799 1204 1020 959
si4_m4Dr2_m625.09 6 552 1306 12764 3083
si4_m4Dr2_m625.04 6 1829 2339 19877 28399
si4_m4Dr2_m625.02 6 530 747 611 825
si4_m4Dr2_m625.07 6 594 561 1143 5206
si4_m4Dr2_m625.00 6 537 615 996 1827
si4_m4Dr2_m625.08 6 700 469 4577 4585
si4_m4Dr2_m625.01 6 620 2845 771 4591
si4_m4Dr2_m625.06 6 621 1433 1195 496
si4_m4Dr2_m625.03 6 1487 1953 34503 3129
si4_m4Dr2_m625.05 6 664 1049 5716 5590
si2_r001_m600.00 7 1000000 1000000 1000000 1000000
si2_r001_m600.06 7 1000000 1000000 1000000 1000000
si2_r001_m600.04 7 1000000 1000000 136818 1000000
si2_r001_m600.07 7 1000000 1000000 1000000 1000000
si2_r001_m600.02 7 1000000 1000000 1000000 1000000
si2_r001_m600.08 7 1000000 1000000 1000000 1000000
si2_r001_m600.03 7 1000000 1000000 1000000 1000000
si2_r001_m600.01 7 38188 1000000 1000000 1000000
si2_r001_m600.05 7 952299 1000000 1000000 1000000
si2_r001_m600.09 7 1000000 1000000 1000000 1000000
si2_m4Dr2_m256.09 6 43 326 63 407
si2_m4Dr2_m256.03 6 243 15954 990 121
si2_m4Dr2_m256.04 6 62 83 133 321
si2_m4Dr2_m256.07 6 59 82 137 721
si2_m4Dr2_m256.00 6 102 485 1677 364
si2_m4Dr2_m256.06 6 788 105 14 15
si2_m4Dr2_m256.08 6 21 54 12 57
si2_m4Dr2_m256.05 6 15 110 270 872
si2_m4Dr2_m256.01 6 15 127 750 766
si2_m4Dr2_m256.02 6 62 81 391 181
si6_r001_m600.09 7 934 3527 1000001 25058
si6_r001_m600.00 7 1000000 531379 320084 59194
si6_r001_m600.07 7 46828 4920 592193 1587
si6_r001_m600.03 7 10611 16192 233050 424265
