instance family sequential-induced-except-0 sequential-induced-except-1 sequential-induced-except-2 sequential-induced-except-3
F.04 1 43 54 57 67
C.18 1 1806 2751 149724 12943
A.04 1 17 39 68 825
C.02 1 1542 4130 261826 639753
E.01 1 54 47 55 61
F.20 1 60 60 54 60
B.20 1 403 1000 156199 8379
C.08 1 1793 2696 508208 9881
B.11 1 368 775 3120 19669
C.10 1 1895 5520 1000003 34655
B.06 1 474 661 2045 517976
F.08 1 49 58 50 47
B.07 1 462 746 469270 15779
E.04 1 40 39 53 64
C.01 1 1602 2528 243470 1000001
B.10 1 413 2954 51950 8246
A.15 1 17 44 1080 263
C.19 1 1444 35937 882725 354060
B.02 1 320 1293 4248 39458
E.06 1 39 48 42 44
E.18 1 38 47 41 43
C.20 1 1771 3592 296953 1000006
F.02 1 54 46 63 46
F.11 1 39 39 42 63
F.12 1 53 57 62 66
E.05 1 41 42 43 45
B.16 1 319 2442 3837 7281
A.08 1 21 45 40 325
C.14 1 1519 3869 214088 1000006
F.16 1 37 40 43 45
F.06 1 61 47 49 48
A.03 1 16 177 569 576
E.19 1 53 39 41 59
C.15 1 1726 2527 7136 13525
A.16 1 17 277 71 2418
B.14 1 416 912 687511 91906
A.02 1 16 107 43 96
F.14 1 53 40 44 46
F.05 1 43 56 45 48
B.09 1 324 1304 595828 1000001
A.01 1 23 43 943 1672
C.05 1 1277 2132 5727 74264
B.01 1 324 511 1668 3218
A.09 1 15 24 125 115
A.07 1 23 52 181 239
F.03 1 38 40 43 46
E.12 1 48 40 42 63
C.06 1 1479 4086 148463 1000002
C.09 1 1328 5792 12639 25507
B.17 1 384 2375 18544 183678
C.07 1 1354 2682 1000001 88830
E.09 1 38 56 41 42
E.17 1 40 42 43 44
C.11 1 1307 4131 1000006 32819
F.10 1 37 54 39 41
A.17 1 16 40 51 100
B.15 1 315 379 6392 1000001
E.03 1 37 55 41 44
F.19 1 38 58 44 56
A.12 1 15 30 48 122
B.08 1 311 460 22973 26556
F.17 1 38 41 45 47
C.04 1 1333 1692 650098 1000003
B.19 1 310 638 789 126021
C.16 1 1288 2333 1000004 559860
C.17 1 1369 4101 78413 1000003
E.08 1 40 41 43 46
F.13 1 41 45 49 48
A.20 1 15 24 58 245
E.02 1 40 41 42 44
E.16 1 40 41 42 44
B.12 1 325 430 17471 6765
F.09 1 40 42 45 47
A.10 1 16 42 41 519
F.18 1 55 41 44 48
E.10 1 53 51 43 45
A.06 1 28 266 230 135
E.15 1 37 38 58 43
E.07 1 38 39 52 44
E.11 1 41 41 44 47
B.03 1 324 1251 41663 100699
B.18 1 315 3030 41096 2064
C.03 1 1300 4125 23676 1000005
A.18 1 18 58 63 419
F.15 1 54 40 44 46
A.19 1 16 25 174 2351
C.12 1 1302 2920 15321 1000005
B.05 1 315 604 19768 2570
A.13 1 15 34 140 217
A.05 1 15 20 203 147
F.01 1 37 55 59 46
E.20 1 37 39 41 43
B.13 1 307 509 1652 2580
A.14 1 16 169 934 280
B.04 1 323 3676 10411 2833
C.13 1 1475 122670 492456 1000001
F.07 1 39 42 44 49
E.13 1 37 38 40 41
E.14 1 40 61 44 47
A.11 1 15 53 96 801
si6_r005_m400.07 7 32016 20616 8997 21123
si6_r005_m400.00 7 25730 17981 37258 9171
si6_r005_m400.01 7 13398 9136 20045 26412
si6_r005_m400.02 7 7138 28557 26441 7802
si6_r005_m400.04 7 13425 8354 27607 12587
si6_r005_m400.05 7 44657 41069 6930 27880
si6_r005_m400.09 7 5268 6716 26951 37713
si6_r005_m400.03 7 19239 10213 8548 42910
si6_r005_m400.06 7 6182 21853 26824 5811
si6_r005_m400.08 7 7812 11759 29321 50019
si6_m4Dr6_m625.04 6 218 457 421 520
si6_m4Dr6_m625.01 6 202 255 333 859
