instance family sequential-nofilter-except-0 sequential-nofilter-except-1 sequential-nofilter-except-2 sequential-nofilter-except-3
F.04 1 1152 25075 1000000 1000000
C.18 1 465347 28655 1000004 1000001
A.04 1 47 310 3027 182
C.02 1 220829 1000002 1000006 1000002
E.01 1 2 2 1000000 1000000
F.20 1 176658 1000000 1000000 1000000
B.20 1 168689 83713 447001 11428
C.08 1 1000006 1000006 1000006 190331
B.11 1 2172 66658 1000001 1000001
C.10 1 1000005 1000004 166414 1000007
B.06 1 8633 14514 12773 975240
F.08 1 22324 1000000 1000000 1000000
B.07 1 15948 1000002 1000002 1000001
E.04 1 2 1000000 1000000 1000000
C.01 1 1000005 1000006 182802 1000001
B.10 1 5876 1390 73624 1000003
A.15 1 107 1191 357 54
C.19 1 1000005 1000001 1000008 1000004
B.02 1 29324 1000001 1394 12087
E.06 1 2 736209 1000000 1000000
E.18 1 2 2 13314 418125
C.20 1 1000003 1000011 1000002 1000004
F.02 1 4359 47901 1000000 1000000
F.11 1 1227 620 507 396977
F.12 1 1351 140773 83055 452635
E.05 1 2 1000000 1000000 1000000
B.16 1 5407 19745 56871 11773
A.08 1 442 52 66 66
C.14 1 20127 1000007 27947 10535
F.16 1 1322 17156 113202 1000000
F.06 1 2698 287938 1000000 1000000
A.03 1 637 138 57 89
E.19 1 3 2 3 3
C.15 1 1000001 49944 1000007 1000003
A.16 1 122 349 2008 75
B.14 1 1000000 1000002 1000001 1000001
A.02 1 139 106 52 64
F.14 1 4911 18919 55949 10313
F.05 1 7681 112553 1000000 1000000
B.09 1 7768 237830 1000001 1750
A.01 1 228 1134 60 131
C.05 1 754164 1000005 1000003 1000005
B.01 1 1000000 42331 3427 6186
A.09 1 139 226 73 237
A.07 1 270 947 516 109
F.03 1 6027 120978 1000000 1000000
E.12 1 2 2 2 1000000
C.06 1 351282 534449 1000005 1000005
C.09 1 42940 1000006 1000001 1000005
B.17 1 241128 1000002 1000000 1000002
C.07 1 1000006 19648 1000002 1000006
E.09 1 3 2 1000000 1000000
E.17 1 3 1000000 1000000 1000000
C.11 1 1000003 1000005 1000009 16829
F.10 1 3 2 2 1000000
A.17 1 67 47198 8715 47
B.15 1 31783 1000002 1925 1836
E.03 1 2 2 1000000 1000000
F.19 1 2072 8046 355634 1000000
A.12 1 87 1154 4218 66
B.08 1 230100 89406 1000001 8384
F.17 1 2606 115581 1000000 1000000
C.04 1 1000002 851766 12514 1000003
B.19 1 28740 13077 76112 323155
C.16 1 1000003 495927 1000007 1000004
C.17 1 1000006 1000006 1000003 268113
E.08 1 2 2 1000000 1000000
F.13 1 64538 898043 1000000 1000000
A.20 1 136 139 223 59
E.02 1 2 2 3 1000000
E.16 1 2 2 3 1000000
B.12 1 1000001 2016 9246 58308
F.09 1 4426 494242 1000000 1000000
A.10 1 599 220 21946 69
F.18 1 4107 131995 647275 1000001
E.10 1 2178 10246 652640 1000000
A.06 1 114 184 3582 547
E.15 1 2 1000000 1000000 1000000
E.07 1 2 2 72826 1000000
E.11 1 2 1000000 1000000 1000000
B.03 1 53023 153982 8972 5728
B.18 1 1791 1248 41479 1000001
C.03 1 1000006 1000005 1000002 1000007
A.18 1 234 52 91 167
F.15 1 911 11451 21929 1000000
A.19 1 308 111 377 181
C.12 1 1000002 1000005 128205 1000002
B.05 1 1000002 1000002 314700 153549
A.13 1 252 139 131 1096
A.05 1 86 48 74 57
F.01 1 784 748 203184 293541
E.20 1 2 1000000 1000000 1000000
B.13 1 1000002 1131 29520 3843
A.14 1 1049 161 64 423
B.04 1 37359 1000001 915794 1000002
C.13 1 1000004 305765 1000006 136779
F.07 1 6347 35928 284929 1000000
E.13 1 2 2 2 2
E.14 1 2 1000000 1000000 1000000
A.11 1 51 463 71 161
si6_r005_m400.07 7 51157 38505 12464 25621
si6_r005_m400.00 7 35428 22185 81250 10209
si6_r005_m400.01 7 21751 10638 30892 39649
si6_r005_m400.02 7 9364 40021 44161 9550
si6_r005_m400.04 7 26164 10141 41130 15240
si6_r005_m400.05 7 80507 75850 7887 40973
si6_r005_m400.09 7 7356 8970 38074 62887
si6_r005_m400.03 7 28569 12032 10604 73608
si6_r005_m400.06 7 8687 28469 42769 7905
si6_r005_m400.08 7 13525 18512 46828 73515
si6_m4Dr6_m625.04 6 868 1032 873 1290
si6_m4Dr6_m625.01 6 820 1423 944 1336
si6_m4Dr6_m625.09 6 864 3338 1684 8034
si6_m4Dr6_m625.07 6 1010 1129 783 1887
si6_m4Dr6_m625.00 6 883 1582 1128 952
si6_m4Dr6_m625.08 6 1216 925 1162 868
si6_m4Dr6_m625.05 6 969 1671 1000000 1014
