instance family sequential-except-0 sequential-except-1 sequential-except-2 sequential-except-3
F.04 1 51 505 21298 38254
C.18 1 297 1431 283422 15195
A.04 1 5 30 61 1698
C.02 1 443 4358 692116 1000001
E.01 1 14 13 14 36345
F.20 1 484 12206 1000000 1000000
B.20 1 75 471 427882 7758
C.08 1 274 1289 1000005 8436
B.11 1 79 263 3642 69699
C.10 1 523 4553 1000004 100149
B.06 1 91 256 1719 1000001
F.08 1 210 4840 284528 1000000
B.07 1 78 295 1000001 17773
E.04 1 14 81 9958 578164
C.01 1 447 1147 1000005 1000002
B.10 1 74 3806 76833 7762
A.15 1 5 35 1492 194
C.19 1 439 100372 1000004 1000006
B.02 1 78 1204 4898 171783
E.06 1 14 147 7446 141854
E.18 1 14 13 13 3178
C.20 1 282 1811 620732 1000004
F.02 1 22 253 11121 309568
F.11 1 16 84 86 297
F.12 1 16 24 89 1044
E.05 1 19 1000000 1000000 1000000
B.16 1 84 2288 12998 47976
A.08 1 6 43 32 462
C.14 1 427 2400 481172 1000002
F.16 1 25 154 287 20535
F.06 1 67 588 15053 1000000
A.03 1 6 262 648 809
E.19 1 13 12 13 13
C.15 1 484 1399 5953 12194
A.16 1 5 387 61 4976
B.14 1 75 624 1000002 187365
A.02 1 5 173 29 100
F.14 1 15 51 95 206
F.05 1 15 163 1799 25936
B.09 1 76 1851 1000002 1000001
A.01 1 6 31 1311 2166
C.05 1 283 858 6486 93238
B.01 1 74 230 1693 3001
A.09 1 4 14 123 132
A.07 1 6 46 163 235
F.03 1 15 61 270 5588
E.12 1 14 18 13 507902
C.06 1 314 3037 228378 1000005
C.09 1 288 5325 13753 32111
B.17 1 92 2368 55912 598430
C.07 1 327 1961 1000005 181022
E.09 1 14 13 1108 97318
E.17 1 14 106943 1000000 1000000
C.11 1 291 3633 1000001 30913
F.10 1 16 13 13 15
A.17 1 7 21 49 88
B.15 1 75 78 9500 1000002
E.03 1 14 17 316 7002
F.19 1 20 82 456 2461
A.12 1 4 9 20 71
B.08 1 87 189 30112 31964
F.17 1 29 189 788 277714
C.04 1 312 373 1000001 1000002
B.19 1 76 349 410 677138
C.16 1 288 986 1000001 1000003
C.17 1 293 3220 128836 1000005
E.08 1 14 13 117182 1000000
F.13 1 124 1449 54189 1000000
A.20 1 5 12 44 252
E.02 1 14 12 13 52217
E.16 1 14 13 13 1000000
B.12 1 76 160 20258 7072
F.09 1 53 1175 23110 287269
A.10 1 5 47 38 765
F.18 1 15 412 4394 352626
E.10 1 15 120 266 2476
A.06 1 7 418 244 121
E.15 1 14 3092 153673 1000000
E.07 1 14 13 273 2544
E.11 1 14 2589 62690 388847
B.03 1 81 1158 76902 288240
B.18 1 75 3797 56212 1813
C.03 1 288 2784 33601 1000002
A.18 1 7 49 53 1335
F.15 1 15 58 274 6069
A.19 1 6 17 203 4669
C.12 1 292 2160 28839 1000003
B.05 1 79 205 104987 2324
A.13 1 4 26 154 219
A.05 1 5 7 231 150
F.01 1 15 46 415 425
E.20 1 14 178 10458 126258
B.13 1 73 219 1347 2775
A.14 1 5 264 2046 274
B.04 1 72 4671 13181 12608
C.13 1 313 263466 1000003 1000006
F.07 1 17 367 3954 54099
E.13 1 14 13 13 13
E.14 1 14 7871 396129 1000000
A.11 1 5 73 106 956
si6_r005_m400.07 7 45064 32535 11577 22423
si6_r005_m400.00 7 32655 19684 73245 9323
si6_r005_m400.01 7 16569 9418 27365 35768
si6_r005_m400.02 7 7241 31553 39958 8457
si6_r005_m400.04 7 22860 8522 38341 13608
si6_r005_m400.05 7 71773 67755 6978 39142
si6_r005_m400.09 7 5571 7897 34738 60330
si6_r005_m400.03 7 24290 11235 8721 67223
si6_r005_m400.06 7 6389 24203 39737 6542
si6_r005_m400.08 7 11026 17415 41362 69548
si6_m4Dr6_m625.04 6 61 237 393 380
si6_m4Dr6_m625.01 6 46 54 128 895
si6_m4Dr6_m625.09 6 48 70 1164 2506
si6_m4Dr6_m625.07 6 48 54 235 7710
si6_m4Dr6_m625.00 6 47 145 275 250
si6_m4Dr6_m625.08 6 55 59 138 3267
si6_m4Dr6_m625.05 6 48 63 416 6974
si6_m4Dr6_m625.06 6 46 73 100 572
si6_m4Dr6_m625.02 6 59 54 788 299
si6_m4Dr6_m625.03 6 47 64 653 11377
si4_m4Dr2_m625.09 6 54 1713 1000000 1000001
si4_m4Dr2_m625.04 6 113 1646 5495 39417
si4_m4Dr2_m625.02 6 30 36 202 402
si4_m4Dr2_m625.07 6 29 47 1451 960
si4_m4Dr2_m625.00 6 30 357 478 8069
si4_m4Dr2_m625.08 6 50 1491 415 7915
si4_m4Dr2_m625.01 6 35 651 7191 2197
si4_m4Dr2_m625.06 6 31 772 2447 4685
si4_m4Dr2_m625.03 6 987 1761 161 10133
si4_m4Dr2_m625.05 6 34 2202 13587 31593
si2_r001_m600.00 7 1000000 1000000 1000000 1000000
si2_r001_m600.06 7 1000000 1000000 1000000 1000000
si2_r001_m600.04 7 1000000 1000000 1000000 1000000
si2_r001_m600.07 7 1000000 1000000 1000000 1000000
si2_r001_m600.02 7 1000000 1000000 1000000 1000000
si2_r001_m600.08 7 1000000 1000000 1000000 1000000
si2_r001_m600.03 7 1000000 1000000 1000000 1000000
si2_r001_m600.01 7 1000000 1000000 1000000 1000000
si2_r001_m600.05 7 1000000 1000000 1000000 1000000
si2_r001_m600.09 7 1000000 1000000 1000000 1000000
si2_m4Dr2_m256.09 6 17 67 72 17
si2_m4Dr2_m256.03 6 87 8 13 22
si2_m4Dr2_m256.04 6 15 27 271 190
si2_m4Dr2_m256.07 6 2 55 148 1051
si2_m4Dr2_m256.00 6 76 469 550 50
si2_m4Dr2_m256.06 6 2227 12 8 5
si2_m4Dr2_m256.08 6 2 6 189 4559
si2_m4Dr2_m256.05 6 2 48 361 1833
si2_m4Dr2_m256.01 6 2 196 1236 47
si2_m4Dr2_m256.02 6 43 828 565 17247
si6_r001_m600.09 7 126 8178 1000001 23917
si6_r001_m600.00 7 620384 987629 95743 87789
si6_r001_m600.07 7 98857 2882 1000000 2000
si6_r001_m600.03 7 4827 6889 1000001 528213
si6_r001_m600.01 7 68591 12617 874 216364
si6_r001_m600.06 7 2720 57712 119604 1298
si6_r001_m600.08 7 84805 337268 1000000 1000001
si6_r001_m600.02 7 6203 2632 11927 48767
si6_r001_m600.04 7 171766 544944 622791 404539
si6_r001_m600.05 7 800 13900 523316 1000000
si2_m4Dr2_m1296.05 6 109 2985 18642 14501
si2_m4Dr2_m1296.09 6 174 12301 192103 154713
si2_m4Dr2_m1296.02 6 39871 1000001 1000001 1000001
si2_m4Dr2_m1296.07 6 107 85171 14522 323555
si2_m4Dr2_m1296.00 6 105 344 2232 18613
si2_m4Dr2_m1296.06 6 64672 1000000 1000001 1000001
si2_m4Dr2_m1296.08 6 111 1000001 1000000 1000002
si2_m4Dr2_m1296.01 6 12108 55531 64215 1000000
si2_m4Dr2_m1296.03 6 186 186959 70542 90831
si2_m4Dr2_m1296.04 6 104 196 7567 46368
si4_b06m_m800.08 4 60 87 1468 113
si4_b06m_m800.00 4 59 117 103 238
si4_b06m_m800.06 4 60 65 80 465
si4_b06m_m800.05 4 56 88 116 166
si4_b06m_m800.04 4 61 66 691 1000001
si4_b06m_m800.09 4 59 76 76 88
si4_b06m_m800.01 4 59 63 303 287
si4_b06m_m800.07 4 59 75 40228 139
si4_b06m_m800.03 4 63 1904 6364 386
si4_b06m_m800.02 4 61 76 113 165
si6_m4Dr2_m625.08 6 50 84 848 282
si6_m4Dr2_m625.09 6 49 96 182 336
si6_m4Dr2_m625.05 6 49 2965 336 41380
si6_m4Dr2_m625.01 6 47 48 125 1860
si6_m4Dr2_m625.06 6 47 57 433 903
si6_m4Dr2_m625.00 6 48 54 98 6096
si6_m4Dr2_m625.03 6 48 101 544 186
si6_m4Dr2_m625.02 6 60 685 3075 11469
si6_m4Dr2_m625.07 6 46 61 417 5404
si6_m4Dr2_m625.04 6 65 208 10585 2072
si2_m4D_m1296.01 5 299 413 558 2771
si2_m4D_m1296.08 5 116 108 171 25883
si2_m4D_m1296.06 5 633 1652 3207 5417
si2_m4D_m1296.05 5 104 346 244 11985
si2_m4D_m1296.09 5 176 556 4406 25773
si2_m4D_m1296.03 5 113 133 282 1835
si2_m4D_m1296.07 5 163 1416 812 9495
si2_m4D_m1296.02 5 130 260 31903 43487
si2_m4D_m1296.04 5 326 3753 2097 11501
si2_m4D_m1296.00 5 103 131 4716 9191
si4_b03_m800.05 3 58 59 63 77
si4_b03_m800.00 3 58 61 62 62
si4_b03_m800.08 3 58 59 63 64
si4_b03_m800.09 3 58 60 61 64
