instance family
F.04 1 146
C.18 1 1966
A.04 1 24
C.02 1 1568
E.01 1 1000001
F.20 1 218
B.20 1 421
C.08 1 1651
B.11 1 409
C.10 1 1797
B.06 1 408
F.08 1 188
B.07 1 425
E.04 1 1000000
C.01 1 1730
B.10 1 426
A.15 1 24
C.19 1 1649
B.02 1 426
E.06 1 1000000
E.18 1 1000000
C.20 1 1898
F.02 1 219
F.11 1 178
F.12 1 169
E.05 1 1000001
B.16 1 415
A.08 1 22
C.14 1 1924
F.16 1 145
F.06 1 157
A.03 1 23
E.19 1 1000000
C.15 1 1671
A.16 1 25
B.14 1 426
A.02 1 23
F.14 1 161
F.05 1 150
B.09 1 498
A.01 1 24
C.05 1 1630
B.01 1 407
A.09 1 25
A.07 1 23
F.03 1 191
E.12 1 1000000
C.06 1 1701
C.09 1 1619
B.17 1 418
C.07 1 1684
E.09 1 1000000
E.17 1 1000000
C.11 1 1995
F.10 1 1000000
A.17 1 23
B.15 1 409
E.03 1 1000001
F.19 1 159
A.12 1 23
B.08 1 427
F.17 1 146
C.04 1 1674
B.19 1 405
C.16 1 1648
C.17 1 1661
E.08 1 1000001
F.13 1 160
A.20 1 28
E.02 1 1000000
E.16 1 1000000
B.12 1 422
F.09 1 153
A.10 1 24
F.18 1 149
E.10 1 141
A.06 1 24
E.15 1 1000000
E.07 1 1000000
E.11 1 1000000
B.03 1 465
B.18 1 447
C.03 1 1658
A.18 1 23
F.15 1 143
A.19 1 30
C.12 1 1621
B.05 1 486
A.13 1 24
A.05 1 23
F.01 1 142
E.20 1 1000001
B.13 1 399
A.14 1 24
B.04 1 433
C.13 1 1808
F.07 1 157
E.13 1 1000000
E.14 1 1000000
A.11 1 23
si6_r005_m400.07 7 15022
si6_r005_m400.00 7 13250
si6_r005_m400.01 7 6104
si6_r005_m400.02 7 4619
si6_r005_m400.04 7 5497
si6_r005_m400.05 7 18564
si6_r005_m400.09 7 3309
si6_r005_m400.03 7 11291
si6_r005_m400.06 7 3723
si6_r005_m400.08 7 4467
si6_m4Dr6_m625.04 6 272
si6_m4Dr6_m625.01 6 243
si6_m4Dr6_m625.09 6 351
si6_m4Dr6_m625.07 6 261
si6_m4Dr6_m625.00 6 269
si6_m4Dr6_m625.08 6 352
si6_m4Dr6_m625.05 6 283
si6_m4Dr6_m625.06 6 259
si6_m4Dr6_m625.02 6 349
si6_m4Dr6_m625.03 6 255
si4_m4Dr2_m625.09 6 187
si4_m4Dr2_m625.04 6 202
si4_m4Dr2_m625.02 6 179
si4_m4Dr2_m625.07 6 162
si4_m4Dr2_m625.00 6 204
si4_m4Dr2_m625.08 6 212
si4_m4Dr2_m625.01 6 179
si4_m4Dr2_m625.06 6 171
si4_m4Dr2_m625.03 6 186
si4_m4Dr2_m625.05 6 184
si2_r001_m600.00 7 576
si2_r001_m600.06 7 560
si2_r001_m600.04 7 1104
si2_r001_m600.07 7 377
si2_r001_m600.02 7 207
si2_r001_m600.08 7 941
si2_r001_m600.03 7 313
si2_r001_m600.01 7 172
si2_r001_m600.05 7 295
si2_r001_m600.09 7 1485
si2_m4Dr2_m256.09 6 13
si2_m4Dr2_m256.03 6 92
si2_m4Dr2_m256.04 6 15
si2_m4Dr2_m256.07 6 13
si2_m4Dr2_m256.00 6 19
si2_m4Dr2_m256.06 6 35
si2_m4Dr2_m256.08 6 13
si2_m4Dr2_m256.05 6 12
si2_m4Dr2_m256.01 6 13
si2_m4Dr2_m256.02 6 18
si6_r001_m600.09 7 352
si6_r001_m600.00 7 426
si6_r001_m600.07 7 520
si6_r001_m600.03 7 395
si6_r001_m600.01 7 427
si6_r001_m600.06 7 352
si6_r001_m600.08 7 559
si6_r001_m600.02 7 407
si6_r001_m600.04 7 355
si6_r001_m600.05 7 362
si2_m4Dr2_m1296.05 6 874
si2_m4Dr2_m1296.09 6 786
si2_m4Dr2_m1296.02 6 1078
si2_m4Dr2_m1296.07 6 757
si2_m4Dr2_m1296.00 6 862
si2_m4Dr2_m1296.06 6 786
si2_m4Dr2_m1296.08 6 796
si2_m4Dr2_m1296.01 6 873
si2_m4Dr2_m1296.03 6 759
si2_m4Dr2_m1296.04 6 848
si4_b06m_m800.08 4 410
si4_b06m_m800.00 4 311
si4_b06m_m800.06 4 384
si4_b06m_m800.05 4 306
si4_b06m_m800.04 4 308
si4_b06m_m800.09 4 391
si4_b06m_m800.01 4 319
si4_b06m_m800.07 4 325
si4_b06m_m800.03 4 315
si4_b06m_m800.02 4 431
si6_m4Dr2_m625.08 6 273
si6_m4Dr2_m625.09 6 281
si6_m4Dr2_m625.05 6 278
si6_m4Dr2_m625.01 6 225
si6_m4Dr2_m625.06 6 316
si6_m4Dr2_m625.00 6 260
si6_m4Dr2_m625.03 6 251
si6_m4Dr2_m625.02 6 273
si6_m4Dr2_m625.07 6 422
si6_m4Dr2_m625.04 6 377
si2_m4D_m1296.01 5 842
si2_m4D_m1296.08 5 674
si2_m4D_m1296.06 5 1275
si2_m4D_m1296.05 5 839
si2_m4D_m1296.09 5 661
si2_m4D_m1296.03 5 831
si2_m4D_m1296.07 5 674
si2_m4D_m1296.02 5 924
si2_m4D_m1296.04 5 741
si2_m4D_m1296.00 5 694
si4_b03_m800.05 3 435
si4_b03_m800.00 3 455
si4_b03_m800.08 3 436
si4_b03_m800.09 3 478
si4_b03_m800.03 3 489
si4_b03_m800.02 3 556
si4_b03_m800.04 3 440
si4_b03_m800.01 3 545
si4_b03_m800.06 3 441
si4_b03_m800.07 3 445
si6_m4D_m1296.02 5 1687
si6_m4D_m1296.07 5 3675
si6_m4D_m1296.05 5 3001
si6_m4D_m1296.09 5 4116
si6_m4D_m1296.00 5 303863
si6_m4D_m1296.08 5 2990
si6_m4D_m1296.04 5 1804
si6_m4D_m1296.06 5 3696
si6_m4D_m1296.01 5 532990
si6_m4D_m1296.03 5 12376
si6_r001_m200.05 7 22
si6_r001_m200.09 7 24
si6_r001_m200.07 7 14
si6_r001_m200.02 7 15
si6_r001_m200.01 7 20
si6_r001_m200.00 7 15
si6_r001_m200.04 7 16
si6_r001_m200.06 7 15
si6_r001_m200.08 7 15
si6_r001_m200.03 7 15
si4_b06_m400.06 3 99
si4_b06_m400.07 3 73
si4_b06_m400.09 3 99
si4_b06_m400.01 3 74
si4_b06_m400.04 3 99
si4_b06_m400.03 3 73
si4_b06_m400.00 3 74
si4_b06_m400.05 3 74
si4_b06_m400.08 3 88
si4_b06_m400.02 3 73
si2_m4Dr6_m256.06 6 19
si2_m4Dr6_m256.05 6 18
si2_m4Dr6_m256.09 6 15
si2_m4Dr6_m256.00 6 14
si2_m4Dr6_m256.07 6 13
si2_m4Dr6_m256.04 6 16
si2_m4Dr6_m256.02 6 14
si2_m4Dr6_m256.01 6 19
si2_m4Dr6_m256.08 6 25
si2_m4Dr6_m256.03 6 17
si6_r01_m200.04 7 1298
si6_r01_m200.08 7 817
si6_r01_m200.02 7 2470
si6_r01_m200.09 7 4360
si6_r01_m200.07 7 1161
si6_r01_m200.00 7 1123
si6_r01_m200.01 7 10591
si6_r01_m200.03 7 2931
si6_r01_m200.05 7 3273
si6_r01_m200.06 7 3604
si2_b03m_m800.03 4 180
si2_b03m_m800.02 4 178
si2_b03m_m800.09 4 236
si2_b03m_m800.04 4 186
si2_b03m_m800.06 4 184
si2_b03m_m800.05 4 179
si2_b03m_m800.01 4 249
si2_b03m_m800.08 4 185
si2_b03m_m800.07 4 181
si2_b03m_m800.00 4 181
si2_r001_m200.06 7 29
si2_r001_m200.01 7 9
si2_r001_m200.02 7 10
si2_r001_m200.07 7 8
si2_r001_m200.04 7 12
si2_r001_m200.05 7 57
si2_r001_m200.09 7 4027
si2_r001_m200.03 7 8
si2_r001_m200.00 7 9
si2_r001_m200.08 7 13
si6_b03m_m800.01 4 439
si6_b03m_m800.08 4 416
si6_b03m_m800.03 4 502
si6_b03m_m800.00 4 524
si6_b03m_m800.04 4 428
si6_b03m_m800.05 4 425
si6_b03m_m800.07 4 552
si6_b03m_m800.06 4 426
si6_b03m_m800.09 4 446
si6_b03m_m800.02 4 409
si4_r005_m200.00 7 336
si4_r005_m200.08 7 103
si4_r005_m200.02 7 124
si4_r005_m200.05 7 107
si4_r005_m200.06 7 80
si4_r005_m200.04 7 608
si4_r005_m200.07 7 258
si4_r005_m200.09 7 205
si4_r005_m200.01 7 201
si4_r005_m200.03 7 219
si6_b09m_m400.03 4 90
si6_b09m_m400.07 4 120
si6_b09m_m400.00 4 95
si6_b09m_m400.04 4 120
si6_b09m_m400.06 4 94
si6_b09m_m400.08 4 87
si6_b09m_m400.02 4 90
si6_b09m_m400.05 4 88
si6_b09m_m400.09 4 89
si6_b09m_m400.01 4 91
si2_b09_m200.08 3 9
si2_b09_m200.01 3 9
si2_b09_m200.06 3 14
si2_b09_m200.05 3 12
si2_b09_m200.00 3 13
si2_b09_m200.02 3 9
si2_b09_m200.03 3 10
