instance family
F.04 1 161
C.18 1 779
A.04 1 13
C.02 1 957
E.01 1 1000000
F.20 1 509
B.20 1 202
C.08 1 779
B.11 1 208
C.10 1 780
B.06 1 199
F.08 1 408
B.07 1 249
E.04 1 1000000
C.01 1 768
B.10 1 203
A.15 1 13
C.19 1 812
B.02 1 297
E.06 1 1000000
E.18 1 1000000
C.20 1 778
F.02 1 159
F.11 1 132
F.12 1 139
E.05 1 1000000
B.16 1 200
A.08 1 13
C.14 1 1042
F.16 1 168
F.06 1 174
A.03 1 13
E.19 1 1000000
C.15 1 760
A.16 1 14
B.14 1 257
A.02 1 13
F.14 1 157
F.05 1 134
B.09 1 203
A.01 1 14
C.05 1 847
B.01 1 259
A.09 1 13
A.07 1 13
F.03 1 132
E.12 1 1000000
C.06 1 779
C.09 1 752
B.17 1 201
C.07 1 757
E.09 1 1000000
E.17 1 1000000
C.11 1 998
F.10 1 1000000
A.17 1 13
B.15 1 226
E.03 1 1000000
F.19 1 136
A.12 1 13
B.08 1 198
F.17 1 149
C.04 1 760
B.19 1 211
C.16 1 863
C.17 1 763
E.08 1 1000000
F.13 1 264
A.20 1 13
E.02 1 1000000
E.16 1 1000000
B.12 1 201
F.09 1 262
A.10 1 13
F.18 1 138
E.10 1 160
A.06 1 14
E.15 1 1000000
E.07 1 1000000
E.11 1 1000000
B.03 1 208
B.18 1 199
C.03 1 821
A.18 1 13
F.15 1 149
A.19 1 14
C.12 1 803
B.05 1 231
A.13 1 14
A.05 1 18
F.01 1 132
E.20 1 1000000
B.13 1 249
A.14 1 18
B.04 1 277
C.13 1 776
F.07 1 132
E.13 1 1000000
E.14 1 1000000
A.11 1 13
si6_r005_m400.07 7 22072
si6_r005_m400.00 7 14995
si6_r005_m400.01 7 7412
si6_r005_m400.02 7 4773
si6_r005_m400.04 7 7959
si6_r005_m400.05 7 29014
si6_r005_m400.09 7 3515
si6_r005_m400.03 7 14255
si6_r005_m400.06 7 3875
si6_r005_m400.08 7 5892
si6_m4Dr6_m625.04 6 171
si6_m4Dr6_m625.01 6 128
si6_m4Dr6_m625.09 6 216
si6_m4Dr6_m625.07 6 131
si6_m4Dr6_m625.00 6 135
si6_m4Dr6_m625.08 6 142
si6_m4Dr6_m625.05 6 165
si6_m4Dr6_m625.06 6 141
si6_m4Dr6_m625.02 6 136
si6_m4Dr6_m625.03 6 173
si4_m4Dr2_m625.09 6 100
si4_m4Dr2_m625.04 6 140
si4_m4Dr2_m625.02 6 80
si4_m4Dr2_m625.07 6 99
si4_m4Dr2_m625.00 6 93
si4_m4Dr2_m625.08 6 81
si4_m4Dr2_m625.01 6 86
si4_m4Dr2_m625.06 6 81
si4_m4Dr2_m625.03 6 127
si4_m4Dr2_m625.05 6 106
si2_r001_m600.00 7 782
si2_r001_m600.06 7 1112
si2_r001_m600.04 7 1712
si2_r001_m600.07 7 452
si2_r001_m600.02 7 176
si2_r001_m600.08 7 1566
si2_r001_m600.03 7 63538
si2_r001_m600.01 7 77
si2_r001_m600.05 7 297
si2_r001_m600.09 7 3218
si2_m4Dr2_m256.09 6 9
si2_m4Dr2_m256.03 6 31
si2_m4Dr2_m256.04 6 8
si2_m4Dr2_m256.07 6 6
si2_m4Dr2_m256.00 6 7
si2_m4Dr2_m256.06 6 33
si2_m4Dr2_m256.08 6 6
si2_m4Dr2_m256.05 6 8
si2_m4Dr2_m256.01 6 9
si2_m4Dr2_m256.02 6 9
si6_r001_m600.09 7 168
si6_r001_m600.00 7 332
si6_r001_m600.07 7 277
si6_r001_m600.03 7 225
si6_r001_m600.01 7 174
si6_r001_m600.06 7 193
si6_r001_m600.08 7 240
si6_r001_m600.02 7 192
si6_r001_m600.04 7 170
si6_r001_m600.05 7 211
si2_m4Dr2_m1296.05 6 294
si2_m4Dr2_m1296.09 6 311
si2_m4Dr2_m1296.02 6 1658
si2_m4Dr2_m1296.07 6 294
si2_m4Dr2_m1296.00 6 286
si2_m4Dr2_m1296.06 6 303
si2_m4Dr2_m1296.08 6 308
si2_m4Dr2_m1296.01 6 304
si2_m4Dr2_m1296.03 6 298
si2_m4Dr2_m1296.04 6 316
si4_b06m_m800.08 4 185
si4_b06m_m800.00 4 162
si4_b06m_m800.06 4 203
si4_b06m_m800.05 4 151
si4_b06m_m800.04 4 154
si4_b06m_m800.09 4 156
si4_b06m_m800.01 4 166
si4_b06m_m800.07 4 184
si4_b06m_m800.03 4 273
si4_b06m_m800.02 4 164
si6_m4Dr2_m625.08 6 132
si6_m4Dr2_m625.09 6 141
si6_m4Dr2_m625.05 6 134
si6_m4Dr2_m625.01 6 116
si6_m4Dr2_m625.06 6 125
si6_m4Dr2_m625.00 6 132
si6_m4Dr2_m625.03 6 202
si6_m4Dr2_m625.02 6 134
si6_m4Dr2_m625.07 6 128
si6_m4Dr2_m625.04 6 153
si2_m4D_m1296.01 5 433
si2_m4D_m1296.08 5 245
si2_m4D_m1296.06 5 509
si2_m4D_m1296.05 5 266
si2_m4D_m1296.09 5 245
si2_m4D_m1296.03 5 325
si2_m4D_m1296.07 5 347
si2_m4D_m1296.02 5 332
si2_m4D_m1296.04 5 459
si2_m4D_m1296.00 5 238
si4_b03_m800.05 3 199
si4_b03_m800.00 3 185
si4_b03_m800.08 3 186
si4_b03_m800.09 3 188
si4_b03_m800.03 3 290
si4_b03_m800.02 3 185
si4_b03_m800.04 3 185
si4_b03_m800.01 3 185
si4_b03_m800.06 3 187
si4_b03_m800.07 3 222
si6_m4D_m1296.02 5 916
si6_m4D_m1296.07 5 2373
si6_m4D_m1296.05 5 825
