instance family sequential-induced-except-0-pf sequential-induced-except-0-pd sequential-d2-induced-except-0-pf sequential-d2-induced-except-0-pd sequential-induced-except-1-pf sequential-induced-except-1-pd sequential-d2-induced-except-1-pf sequential-d2-induced-except-1-pd sequential-induced-except-2-pf sequential-induced-except-2-pd sequential-d2-induced-except-2-pf sequential-d2-induced-except-2-pd sequential-induced-except-3-pf sequential-induced-except-3-pd sequential-d2-induced-except-3-pf sequential-d2-induced-except-3-pd sequential-induced-except-4-pf sequential-induced-except-4-pd sequential-d2-induced-except-4-pf sequential-d2-induced-except-4-pd sequential-induced-except-5-pf sequential-induced-except-5-pd sequential-d2-induced-except-5-pf sequential-d2-induced-except-5-pd sequential-induced-except-10-pf sequential-induced-except-10-pd sequential-d2-induced-except-10-pf sequential-d2-induced-except-10-pd sequential-induced-except-20-pf sequential-induced-except-20-pd sequential-d2-induced-except-20-pf sequential-d2-induced-except-20-pd
F.04 1 987873 130103 987873 130420 989998 124842 989998 126192 990784 118834 990784 121031 990858 115538 990858 117680 991185 115448 991185 116975 991272 116486 991272 117243 991582 122553 991582 122559 992082 137829 992082 137829
C.18 1 997380 12253 997152 32447 997882 11442 997882 11599 997870 11795 997870 11795 997833 11788 997833 11788 997833 11788 997833 11788 997833 11788 997833 11788 997833 11788 997833 11788 997833 11788 997833 11788
A.04 1 986893 61996 985571 149923 989210 57628 989210 62421 989512 58478 989512 58647 989598 58680 989598 58680 989598 58680 989598 58680 989598 58680 989598 58680 989598 58680 989598 58680 989598 58680 989598 58680
C.02 1 997236 12814 997153 34345 997857 11927 997857 12154 997891 12041 997891 12041 997833 12101 997833 12101 997833 12101 997833 12101 997833 12101 997833 12101 997833 12101 997833 12101 997833 12101 997833 12101
E.01 1 988855 147175 988855 147380 989686 142460 989686 142943 990329 137866 990329 138617 990649 134757 990649 135539 990959 133607 990959 134189 990998 132195 990998 132595 991746 134229 991746 134236 991936 145075 991936 145075
F.20 1 989704 132334 989704 132792 990519 126794 990519 127723 990855 123850 990855 125286 991274 121854 991274 123152 991242 121540 991242 122480 991543 121716 991543 122257 991595 125366 991595 125376 992126 133883 992126 133883
B.20 1 995539 20568 995331 53745 996399 19408 996399 20013 996403 19639 996403 19647 996403 19606 996403 19606 996403 19606 996403 19606 996403 19606 996403 19606 996403 19606 996403 19606 996403 19606 996403 19606
C.08 1 997254 12652 997134 33690 997796 11528 997796 11723 997825 11765 997825 11765 997833 12273 997833 12273 997833 12273 997833 12273 997833 12273 997833 12273 997833 12273 997833 12273 997833 12273 997833 12273
B.11 1 995594 20889 995222 54240 996397 19455 996397 19990 996459 19543 996459 19543 996403 19777 996403 19777 996403 19777 996403 19777 996403 19777 996403 19777 996403 19777 996403 19777 996403 19777 996403 19777
C.10 1 997495 12328 997340 33818 997809 11970 997809 12172 997897 11961 997897 11961 997833 11998 997833 11998 997833 11998 997833 11998 997833 11998 997833 11998 997833 11998 997833 11998 997833 11998 997833 11998
B.06 1 995363 20982 995303 54400 996358 19326 996358 19865 996596 20008 996596 20014 996403 19956 996403 19956 996403 19956 996403 19956 996403 19956 996403 19956 996403 19956 996403 19956 996403 19956 996403 19956
F.08 1 989358 125835 989358 125870 990041 121358 990041 121534 990690 118876 990690 119192 990836 117609 990836 117999 991064 116266 991064 116663 991188 116900 991188 117186 991522 119411 991522 119421 992052 130811 992052 130811
B.07 1 995596 20525 995270 54469 996336 19652 996336 20251 996514 19694 996514 19694 996403 19960 996403 19960 996403 19960 996403 19960 996403 19960 996403 19960 996403 19960 996403 19960 996403 19960 996403 19960
