instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
F.04 1 988989 36396 988989 36520 990909 36764 990909 37342 991482 37497 991482 38584 991610 37862 991610 39149 991732 38724 991732 39570 991791 39486 991791 40001 991993 43220 991993 43233 992252 51366 992252 51366
C.18 1 997380 5466 997152 25612 997882 5341 997882 5498 997870 5904 997870 5904 997833 5839 997833 5839 997833 5839 997833 5839 997833 5839 997833 5839 997833 5839 997833 5839 997833 5839 997833 5839
A.04 1 986893 27388 985571 116981 989210 27260 989210 32230 989512 28925 989512 29107 989598 29376 989598 29376 989598 29376 989598 29376 989598 29376 989598 29376 989598 29376 989598 29376 989598 29376 989598 29376
C.02 1 997236 5715 997153 27445 997857 5656 997857 5884 997891 5906 997891 5906 997833 6060 997833 6060 997833 6060 997833 6060 997833 6060 997833 6060 997833 6060 997833 6060 997833 6060 997833 6060
E.01 1 989831 40140 989831 40244 990487 41457 990487 41728 990888 43176 990888 43621 991278 44087 991278 44582 991456 45084 991456 45470 991539 45902 991539 46175 991967 51274 991967 51278 992287 59586 992287 59586
F.20 1 990701 36776 990701 37008 991116 37354 991116 37924 991358 38994 991358 39915 991683 39715 991683 40552 991622 40414 991622 41042 992022 41620 992022 41986 992359 46320 992359 46333 992673 55000 992673 55000
B.20 1 995539 9130 995331 42621 996399 9191 996399 9804 996403 9668 996403 9676 996403 9780 996403 9780 996403 9780 996403 9780 996403 9780 996403 9780 996403 9780 996403 9780 996403 9780 996403 9780
C.08 1 997254 5469 997134 26738 997796 5503 997796 5698 997825 5781 997825 5781 997833 6214 997833 6214 997833 6214 997833 6214 997833 6214 997833 6214 997833 6214 997833 6214 997833 6214 997833 6214
B.11 1 995594 9276 995222 42831 996397 9186 996397 9722 996459 9462 996459 9462 996403 9945 996403 9945 996403 9945 996403 9945 996403 9945 996403 9945 996403 9945 996403 9945 996403 9945 996403 9945
C.10 1 997495 5363 997340 27004 997809 5605 997809 5808 997897 5962 997897 5962 997833 5918 997833 5918 997833 5918 997833 5918 997833 5918 997833 5918 997833 5918 997833 5918 997833 5918 997833 5918
B.06 1 995363 9445 995303 43324 996358 9089 996358 9634 996596 9921 996596 9927 996403 10077 996403 10077 996403 10077 996403 10077 996403 10077 996403 10077 996403 10077 996403 10077 996403 10077 996403 10077
F.08 1 990164 30794 990164 30812 990722 31992 990722 32078 991341 33213 991341 33361 991475 33986 991475 34241 991516 35081 991516 35309 991784 35302 991784 35479 991872 39419 991872 39432 992201 48683 992201 48683
B.07 1 995596 9068 995270 43264 996336 9380 996336 9982 996514 9709 996514 9709 996403 9923 996403 9923 996403 9923 996403 9923 996403 9923 996403 9923 996403 9923 996403 9923 996403 9923 996403 9923
