instance family sequential-d2-induced-except-5
F.04 1 193
C.18 1 1000007
A.04 1 224
C.02 1 60752
E.01 1 147
F.20 1 166
B.20 1 3878
C.08 1 19078
B.11 1 67341
C.10 1 1000006
B.06 1 827359
F.08 1 168
B.07 1 1000002
E.04 1 157
C.01 1 1000003
B.10 1 7222
A.15 1 580
C.19 1 1000003
B.02 1 1000002
E.06 1 246
E.18 1 189
C.20 1 1000001
F.02 1 166
F.11 1 163
F.12 1 159
E.05 1 146
B.16 1 13635
A.08 1 144
C.14 1 1000004
F.16 1 183
F.06 1 162
A.03 1 101
E.19 1 124
C.15 1 35469
A.16 1 390
B.14 1 20623
A.02 1 257
F.14 1 153
F.05 1 157
B.09 1 10636
A.01 1 430
C.05 1 1000004
B.01 1 789683
A.09 1 205
A.07 1 85
F.03 1 156
E.12 1 140
C.06 1 127901
C.09 1 1000003
B.17 1 871838
C.07 1 36022
E.09 1 138
E.17 1 175
C.11 1 1000004
F.10 1 139
A.17 1 205
B.15 1 13049
E.03 1 152
F.19 1 149
A.12 1 3477
B.08 1 1000001
F.17 1 156
C.04 1 1000002
B.19 1 125256
C.16 1 1000007
C.17 1 103378
E.08 1 173
F.13 1 169
A.20 1 294
E.02 1 157
E.16 1 133
B.12 1 489666
F.09 1 185
A.10 1 408
F.18 1 163
E.10 1 152
A.06 1 450
E.15 1 158
E.07 1 151
E.11 1 314
B.03 1 352098
B.18 1 243642
C.03 1 1000005
A.18 1 112
F.15 1 150
A.19 1 2293
C.12 1 1000005
B.05 1 1902
A.13 1 243
A.05 1 1964
F.01 1 152
E.20 1 206
B.13 1 7126
A.14 1 851
B.04 1 1893
C.13 1 94638
F.07 1 152
E.13 1 145
E.14 1 297
A.11 1 223
si6_r005_m400.07 7 20215
si6_r005_m400.00 7 13029
si6_r005_m400.01 7 43608
si6_r005_m400.02 7 19505
si6_r005_m400.04 7 20100
si6_r005_m400.05 7 28536
si6_r005_m400.09 7 8791
si6_r005_m400.03 7 15111
si6_r005_m400.06 7 16729
si6_r005_m400.08 7 6782
si6_m4Dr6_m625.04 6 7281
si6_m4Dr6_m625.01 6 1096
si6_m4Dr6_m625.09 6 1211
si6_m4Dr6_m625.07 6 1492
si6_m4Dr6_m625.00 6 9893
si6_m4Dr6_m625.08 6 19842
si6_m4Dr6_m625.05 6 1276
si6_m4Dr6_m625.06 6 1473
si6_m4Dr6_m625.02 6 9807
si6_m4Dr6_m625.03 6 2041
si4_m4Dr2_m625.09 6 1620
si4_m4Dr2_m625.04 6 25840
si4_m4Dr2_m625.02 6 692
si4_m4Dr2_m625.07 6 17714
si4_m4Dr2_m625.00 6 3127
si4_m4Dr2_m625.08 6 39033
si4_m4Dr2_m625.01 6 3891
si4_m4Dr2_m625.06 6 7948
si4_m4Dr2_m625.03 6 15634
si4_m4Dr2_m625.05 6 41237
si2_r001_m600.00 7 1000000
si2_r001_m600.06 7 1000000
si2_r001_m600.04 7 1000000
si2_r001_m600.07 7 1000000
si2_r001_m600.02 7 1000000
si2_r001_m600.08 7 1000000
si2_r001_m600.03 7 1000000
si2_r001_m600.01 7 1000000
si2_r001_m600.05 7 1000000
si2_r001_m600.09 7 1000000
si2_m4Dr2_m256.09 6 344
si2_m4Dr2_m256.03 6 296
si2_m4Dr2_m256.04 6 320
si2_m4Dr2_m256.07 6 47866
si2_m4Dr2_m256.00 6 41
si2_m4Dr2_m256.06 6 102
si2_m4Dr2_m256.08 6 5691
si2_m4Dr2_m256.05 6 673
si2_m4Dr2_m256.01 6 246
si2_m4Dr2_m256.02 6 457
si6_r001_m600.09 7 1000001
si6_r001_m600.00 7 29788
si6_r001_m600.07 7 23269
si6_r001_m600.03 7 23935
si6_r001_m600.01 7 148465
si6_r001_m600.06 7 1000002
si6_r001_m600.08 7 388129
si6_r001_m600.02 7 4076
si6_r001_m600.04 7 5904
si6_r001_m600.05 7 353949
si2_m4Dr2_m1296.05 6 166268
si2_m4Dr2_m1296.09 6 16492
si2_m4Dr2_m1296.02 6 670826
si2_m4Dr2_m1296.07 6 1000001
si2_m4Dr2_m1296.00 6 284332
si2_m4Dr2_m1296.06 6 1000003
si2_m4Dr2_m1296.08 6 20530
si2_m4Dr2_m1296.01 6 73934
si2_m4Dr2_m1296.03 6 35782
si2_m4Dr2_m1296.04 6 37529
si4_b06m_m800.08 4 504
si4_b06m_m800.00 4 471
si4_b06m_m800.06 4 454
si4_b06m_m800.05 4 470
si4_b06m_m800.04 4 661
si4_b06m_m800.09 4 839
si4_b06m_m800.01 4 1003
si4_b06m_m800.07 4 658
si4_b06m_m800.03 4 4033
si4_b06m_m800.02 4 828
si6_m4Dr2_m625.08 6 5496
si6_m4Dr2_m625.09 6 3848
si6_m4Dr2_m625.05 6 36504
si6_m4Dr2_m625.01 6 5582
si6_m4Dr2_m625.06 6 7316
si6_m4Dr2_m625.00 6 2487
si6_m4Dr2_m625.03 6 3369
si6_m4Dr2_m625.02 6 4705
si6_m4Dr2_m625.07 6 1180
si6_m4Dr2_m625.04 6 83725
si2_m4D_m1296.01 5 24071
si2_m4D_m1296.08 5 139525
si2_m4D_m1296.06 5 20983
si2_m4D_m1296.05 5 59321
si2_m4D_m1296.09 5 126893
si2_m4D_m1296.03 5 20954
si2_m4D_m1296.07 5 24864
si2_m4D_m1296.02 5 123451
si2_m4D_m1296.04 5 136739
si2_m4D_m1296.00 5 40063
si4_b03_m800.05 3 408
si4_b03_m800.00 3 376
si4_b03_m800.08 3 375
si4_b03_m800.09 3 393
si4_b03_m800.03 3 373
si4_b03_m800.02 3 376
si4_b03_m800.04 3 374
si4_b03_m800.01 3 389
si4_b03_m800.06 3 438
si4_b03_m800.07 3 375
si6_m4D_m1296.02 5 25252
si6_m4D_m1296.07 5 131161
si6_m4D_m1296.05 5 110363
si6_m4D_m1296.09 5 208725
si6_m4D_m1296.00 5 1000004
si6_m4D_m1296.08 5 236796
si6_m4D_m1296.04 5 112808
si6_m4D_m1296.06 5 48585
si6_m4D_m1296.01 5 1000004
si6_m4D_m1296.03 5 515045
si6_r001_m200.05 7 1000000
si6_r001_m200.09 7 26020
si6_r001_m200.07 7 16493
si6_r001_m200.02 7 35605
si6_r001_m200.01 7 125
si6_r001_m200.00 7 1027
si6_r001_m200.04 7 4660
si6_r001_m200.06 7 10433
si6_r001_m200.08 7 39524
si6_r001_m200.03 7 13838
si4_b06_m400.06 3 67
si4_b06_m400.07 3 81
si4_b06_m400.09 3 67
si4_b06_m400.01 3 78
si4_b06_m400.04 3 79
si4_b06_m400.03 3 69
si4_b06_m400.00 3 67
si4_b06_m400.05 3 68
si4_b06_m400.08 3 69
si4_b06_m400.02 3 68
si2_m4Dr6_m256.06 6 475
si2_m4Dr6_m256.05 6 138027
si2_m4Dr6_m256.09 6 6882
si2_m4Dr6_m256.00 6 110253
si2_m4Dr6_m256.07 6 2368
si2_m4Dr6_m256.04 6 1070
si2_m4Dr6_m256.02 6 155
si2_m4Dr6_m256.01 6 437
si2_m4Dr6_m256.08 6 389452
si2_m4Dr6_m256.03 6 15209
si6_r01_m200.04 7 10619
si6_r01_m200.08 7 5262
si6_r01_m200.02 7 4402
si6_r01_m200.09 7 5887
si6_r01_m200.07 7 17667
si6_r01_m200.00 7 3033
si6_r01_m200.01 7 6332
si6_r01_m200.03 7 5155
si6_r01_m200.05 7 3140
si6_r01_m200.06 7 9927
si2_b03m_m800.03 4 4079
si2_b03m_m800.02 4 605
si2_b03m_m800.09 4 911
si2_b03m_m800.04 4 1609
si2_b03m_m800.06 4 1000001
si2_b03m_m800.05 4 15549
si2_b03m_m800.01 4 1000001
si2_b03m_m800.08 4 1453
si2_b03m_m800.07 4 1311
si2_b03m_m800.00 4 1000001
si2_r001_m200.06 7 14
si2_r001_m200.01 7 11
si2_r001_m200.02 7 10
si2_r001_m200.07 7 12
si2_r001_m200.04 7 11
si2_r001_m200.05 7 11
si2_r001_m200.09 7 11
si2_r001_m200.03 7 14
si2_r001_m200.00 7 10
si2_r001_m200.08 7 12
si6_b03m_m800.01 4 1000002
si6_b03m_m800.08 4 1000003
si6_b03m_m800.03 4 8314
si6_b03m_m800.00 4 777
si6_b03m_m800.04 4 973
si6_b03m_m800.05 4 8366
si6_b03m_m800.07 4 1000003
si6_b03m_m800.06 4 871110
si6_b03m_m800.09 4 56780
si6_b03m_m800.02 4 2456
si4_r005_m200.00 7 490
si4_r005_m200.08 7 1893
si4_r005_m200.02 7 1633
si4_r005_m200.05 7 219
si4_r005_m200.06 7 3164
si4_r005_m200.04 7 5780
si4_r005_m200.07 7 902
si4_r005_m200.09 7 18244
si4_r005_m200.01 7 2067
si4_r005_m200.03 7 7249
si6_b09m_m400.03 4 173
si6_b09m_m400.07 4 554
si6_b09m_m400.00 4 296
si6_b09m_m400.04 4 519
si6_b09m_m400.06 4 409
si6_b09m_m400.08 4 136
si6_b09m_m400.02 4 373
si6_b09m_m400.05 4 390
si6_b09m_m400.09 4 671
si6_b09m_m400.01 4 1050
si2_b09_m200.08 3 10
si2_b09_m200.01 3 10
si2_b09_m200.06 3 12
si2_b09_m200.05 3 10
si2_b09_m200.00 3 12
si2_b09_m200.02 3 10
si2_b09_m200.03 3 10
si2_b09_m200.04 3 14
si2_b09_m200.09 3 9
si2_b09_m200.07 3 12
si6_r01_m600.02 7 1000001
si6_r01_m600.06 7 839350
si6_r01_m600.09 7 1000001
si6_r01_m600.08 7 357653
si6_r01_m600.05 7 1000001
si6_r01_m600.07 7 1000002
si6_r01_m600.03 7 1000002
si6_r01_m600.00 7 1000002
si6_r01_m600.01 7 1000001
si6_r01_m600.04 7 1000001
si2_b06_m200.02 3 11
si2_b06_m200.00 3 11
si2_b06_m200.01 3 9
si2_b06_m200.06 3 11
si2_b06_m200.09 3 11
si2_b06_m200.07 3 9
si2_b06_m200.04 3 11
si2_b06_m200.08 3 9
si2_b06_m200.03 3 9
si2_b06_m200.05 3 9
si6_m4Dr2_m1296.05 6 11364
si6_m4Dr2_m1296.09 6 74056
si6_m4Dr2_m1296.01 6 12118
si6_m4Dr2_m1296.06 6 220302
si6_m4Dr2_m1296.07 6 17702
si6_m4Dr2_m1296.03 6 10277
si6_m4Dr2_m1296.04 6 11554
si6_m4Dr2_m1296.00 6 34980
si6_m4Dr2_m1296.08 6 77045
si6_m4Dr2_m1296.02 6 42824
si2_b09m_m800.09 4 37001
si2_b09m_m800.07 4 1000001
si2_b09m_m800.00 4 926
si2_b09m_m800.04 4 1761
si2_b09m_m800.02 4 2802
si2_b09m_m800.05 4 45902
si2_b09m_m800.03 4 31651
si2_b09m_m800.08 4 2262
si2_b09m_m800.06 4 1654
si2_b09m_m800.01 4 3439
si4_b03_m400.01 3 93
si4_b03_m400.02 3 87
si4_b03_m400.05 3 65
si4_b03_m400.07 3 65
si4_b03_m400.06 3 88
si4_b03_m400.00 3 80
si4_b03_m400.03 3 83
si4_b03_m400.04 3 76
si4_b03_m400.09 3 66
si4_b03_m400.08 3 66
si2_b03_m200.05 3 8
si2_b03_m200.09 3 8
si2_b03_m200.07 3 8
si2_b03_m200.01 3 8
si2_b03_m200.08 3 8
si2_b03_m200.02 3 8
si2_b03_m200.04 3 8
si2_b03_m200.03 3 8
si2_b03_m200.06 3 8
si2_b03_m200.00 3 8
si4_r005_m600.00 7 78905
si4_r005_m600.02 7 765372
si4_r005_m600.08 7 154702
si4_r005_m600.05 7 510501
si4_r005_m600.07 7 191484
si4_r005_m600.06 7 216878
si4_r005_m600.01 7 132654
si4_r005_m600.04 7 241330
si4_r005_m600.03 7 550721
si4_r005_m600.09 7 116790
si4_b09_m400.05 3 72
si4_b09_m400.03 3 71
si4_b09_m400.00 3 74
si4_b09_m400.07 3 71
si4_b09_m400.01 3 71
si4_b09_m400.06 3 100
si4_b09_m400.04 3 75
si4_b09_m400.02 3 69
si4_b09_m400.08 3 97
si4_b09_m400.09 3 84
si4_b06m_m400.06 4 460
si4_b06m_m400.03 4 191
si4_b06m_m400.01 4 504
si4_b06m_m400.08 4 218
si4_b06m_m400.05 4 12104
si4_b06m_m400.07 4 902
si4_b06m_m400.00 4 240
si4_b06m_m400.04 4 382
si4_b06m_m400.09 4 709
si4_b06m_m400.02 4 222
si2_m4Dr2_m625.05 6 13954
si2_m4Dr2_m625.00 6 5742
si2_m4Dr2_m625.08 6 373
si2_m4Dr2_m625.09 6 4159
si2_m4Dr2_m625.06 6 5097
si2_m4Dr2_m625.04 6 4200
si2_m4Dr2_m625.01 6 30462
si2_m4Dr2_m625.03 6 726760
si2_m4Dr2_m625.02 6 1000000
si2_m4Dr2_m625.07 6 15181
si2_r005_m200.02 7 1000000
si2_r005_m200.01 7 422907
si2_r005_m200.03 7 944
si2_r005_m200.05 7 1000000
si2_r005_m200.08 7 1000000
si2_r005_m200.04 7 3507
si2_r005_m200.09 7 26062
si2_r005_m200.06 7 14856
si2_r005_m200.00 7 115728
si2_r005_m200.07 7 521064
si4_b03m_m400.03 4 308
si4_b03m_m400.09 4 320
si4_b03m_m400.08 4 1000000
si4_b03m_m400.04 4 1000000
si4_b03m_m400.00 4 40773
si4_b03m_m400.01 4 1000000
si4_b03m_m400.07 4 561
si4_b03m_m400.02 4 1000000
si4_b03m_m400.06 4 1000000
si4_b03m_m400.05 4 7295
si2_r01_m600.01 7 1000000
si2_r01_m600.06 7 1000000
si2_r01_m600.09 7 1000000
si2_r01_m600.08 7 1000000
si2_r01_m600.04 7 1000000
si2_r01_m600.02 7 1000000
si2_r01_m600.00 7 1000000
si2_r01_m600.07 7 1000000
si2_r01_m600.03 7 1000000
si2_r01_m600.05 7 1000001
si4_m4Dr6_m256.01 6 332
si4_m4Dr6_m256.00 6 1000000
si4_m4Dr6_m256.05 6 579
si4_m4Dr6_m256.08 6 7799
si4_m4Dr6_m256.03 6 1201
si4_m4Dr6_m256.06 6 118
si4_m4Dr6_m256.09 6 139
si4_m4Dr6_m256.07 6 636
si4_m4Dr6_m256.02 6 687
si4_m4Dr6_m256.04 6 9917
si2_b03m_m400.02 4 451
si2_b03m_m400.00 4 61
si2_b03m_m400.01 4 49
si2_b03m_m400.05 4 95
si2_b03m_m400.08 4 86
si2_b03m_m400.07 4 50
si2_b03m_m400.09 4 60
si2_b03m_m400.03 4 65
si2_b03m_m400.04 4 100
si2_b03m_m400.06 4 63
si2_b03m_m200.05 4 9
si2_b03m_m200.03 4 9
si2_b03m_m200.00 4 9
si2_b03m_m200.08 4 8
si2_b03m_m200.06 4 9
si2_b03m_m200.02 4 9
si2_b03m_m200.09 4 12
si2_b03m_m200.04 4 13
si2_b03m_m200.01 4 10
si2_b03m_m200.07 4 9
si4_r001_m200.04 7 1000000
si4_r001_m200.07 7 1000000
si4_r001_m200.00 7 1000000
si4_r001_m200.01 7 1000000
si4_r001_m200.03 7 1000000
si4_r001_m200.06 7 885971
si4_r001_m200.05 7 551325
si4_r001_m200.08 7 1000000
si4_r001_m200.09 7 4142
si4_r001_m200.02 7 1139
si2_m4D_m256.08 5 385
si2_m4D_m256.03 5 533
si2_m4D_m256.02 5 388
si2_m4D_m256.06 5 971
si2_m4D_m256.04 5 4103
si2_m4D_m256.07 5 869
si2_m4D_m256.01 5 554
si2_m4D_m256.09 5 130
si2_m4D_m256.00 5 359
si2_m4D_m256.05 5 519
si6_r01_m400.04 7 289299
si6_r01_m400.08 7 396138
si6_r01_m400.07 7 266343
si6_r01_m400.06 7 393327
si6_r01_m400.05 7 575084
si6_r01_m400.02 7 337647
si6_r01_m400.00 7 849068
si6_r01_m400.03 7 231262
si6_r01_m400.01 7 181918
si6_r01_m400.09 7 323676
si2_m4Dr4_m625.07 6 5392
si2_m4Dr4_m625.02 6 17375
si2_m4Dr4_m625.03 6 1456
si2_m4Dr4_m625.00 6 555
si2_m4Dr4_m625.05 6 9464
si2_m4Dr4_m625.06 6 8716
si2_m4Dr4_m625.09 6 132520
si2_m4Dr4_m625.01 6 797
si2_m4Dr4_m625.08 6 16540
si2_m4Dr4_m625.04 6 131332
si4_r01_m400.01 7 392356
si4_r01_m400.08 7 187772
si4_r01_m400.02 7 511013
si4_r01_m400.03 7 1000000
si4_r01_m400.07 7 167019
si4_r01_m400.06 7 648676
si4_r01_m400.04 7 210937
si4_r01_m400.00 7 515908
si4_r01_m400.05 7 203723
si4_r01_m400.09 7 161456
si2_b09m_m400.09 4 1000000
si2_b09m_m400.03 4 691
si2_b09m_m400.01 4 289538
si2_b09m_m400.08 4 6713
si2_b09m_m400.05 4 377
si2_b09m_m400.06 4 391
si2_b09m_m400.00 4 577
si2_b09m_m400.02 4 793
si2_b09m_m400.04 4 366618
si2_b09m_m400.07 4 3614
si2_b09_m800.07 3 239
si2_b09_m800.04 3 228
si2_b09_m800.05 3 232
si2_b09_m800.00 3 232
si2_b09_m800.02 3 250
si2_b09_m800.01 3 230
si2_b09_m800.08 3 231
si2_b09_m800.09 3 248
si2_b09_m800.03 3 235
si2_b09_m800.06 3 360
si6_b03_m400.04 3 100
si6_b03_m400.09 3 100
si6_b03_m400.02 3 99
si6_b03_m400.06 3 99
si6_b03_m400.05 3 101
si6_b03_m400.08 3 99
si6_b03_m400.01 3 100
si6_b03_m400.07 3 100
si6_b03_m400.03 3 101
si6_b03_m400.00 3 101
si2_r005_m600.03 7 1000000
si2_r005_m600.00 7 1000000
si2_r005_m600.06 7 1000000
si2_r005_m600.01 7 1000000
si2_r005_m600.04 7 53154
si2_r005_m600.09 7 50351
si2_r005_m600.05 7 1000000
si2_r005_m600.02 7 375625
si2_r005_m600.08 7 1000000
si2_r005_m600.07 7 392554
si4_r01_m600.05 7 1000001
si4_r01_m600.02 7 1000000
si4_r01_m600.03 7 1000001
si4_r01_m600.07 7 1000001
si4_r01_m600.08 7 1000001
si4_r01_m600.06 7 1000001
si4_r01_m600.01 7 1000000
si4_r01_m600.04 7 1000000
si4_r01_m600.00 7 1000000
si4_r01_m600.09 7 1000000
si2_b09_m400.04 3 44
si2_b09_m400.08 3 45
si2_b09_m400.05 3 44
si2_b09_m400.01 3 45
si2_b09_m400.03 3 46
si2_b09_m400.02 3 56
si2_b09_m400.07 3 44
si2_b09_m400.09 3 63
si2_b09_m400.06 3 44
si2_b09_m400.00 3 46
si4_b06_m200.06 3 17
si4_b06_m200.03 3 13
si4_b06_m200.02 3 17
si4_b06_m200.07 3 13
si4_b06_m200.05 3 13
si4_b06_m200.08 3 18
si4_b06_m200.00 3 13
si4_b06_m200.04 3 14
si4_b06_m200.01 3 13
si4_b06_m200.09 3 14
si4_r005_m400.06 7 546464
si4_r005_m400.03 7 116531
si4_r005_m400.07 7 23635
si4_r005_m400.01 7 20004
si4_r005_m400.04 7 120187
si4_r005_m400.00 7 8543
si4_r005_m400.09 7 32769
si4_r005_m400.05 7 48657
si4_r005_m400.08 7 884642
si4_r005_m400.02 7 7626
si4_m4Dr2_m1296.07 6 11990
si4_m4Dr2_m1296.00 6 92257
si4_m4Dr2_m1296.05 6 198089
si4_m4Dr2_m1296.04 6 6750
si4_m4Dr2_m1296.08 6 178368
si4_m4Dr2_m1296.01 6 24008
si4_m4Dr2_m1296.06 6 48432
si4_m4Dr2_m1296.02 6 13152
si4_m4Dr2_m1296.03 6 1000002
si4_m4Dr2_m1296.09 6 577356
si6_b09_m800.03 3 579
si6_b09_m800.09 3 634
si6_b09_m800.07 3 577
si6_b09_m800.05 3 590
si6_b09_m800.04 3 592
si6_b09_m800.01 3 599
si6_b09_m800.00 3 579
si6_b09_m800.02 3 603
si6_b09_m800.06 3 645
si6_b09_m800.08 3 672
si6_b06m_m400.00 4 163
si6_b06m_m400.08 4 148
si6_b06m_m400.03 4 187
si6_b06m_m400.04 4 129
si6_b06m_m400.06 4 247
si6_b06m_m400.07 4 249
si6_b06m_m400.09 4 139
si6_b06m_m400.02 4 258
si6_b06m_m400.01 4 126
si6_b06m_m400.05 4 161
si2_m4Dr4_m1296.08 6 581849
si2_m4Dr4_m1296.07 6 152943
si2_m4Dr4_m1296.03 6 64101
si2_m4Dr4_m1296.05 6 1000002
si2_m4Dr4_m1296.06 6 7170
si2_m4Dr4_m1296.04 6 3948
si2_m4Dr4_m1296.09 6 62866
si2_m4Dr4_m1296.01 6 397225
si2_m4Dr4_m1296.00 6 68942
si2_m4Dr4_m1296.02 6 113605
si6_m4Dr6_m1296.02 6 371997
si6_m4Dr6_m1296.08 6 12273
si6_m4Dr6_m1296.07 6 22391
si6_m4Dr6_m1296.06 6 8936
si6_m4Dr6_m1296.03 6 177720
si6_m4Dr6_m1296.04 6 13244
si6_m4Dr6_m1296.05 6 61527
si6_m4Dr6_m1296.00 6 58555
si6_m4Dr6_m1296.09 6 15371
si6_m4Dr6_m1296.01 6 8946
si4_m4Dr2_m256.00 6 3016
si4_m4Dr2_m256.01 6 4577
si4_m4Dr2_m256.05 6 881
si4_m4Dr2_m256.04 6 400
si4_m4Dr2_m256.08 6 3419
si4_m4Dr2_m256.07 6 1000000
si4_m4Dr2_m256.06 6 1583
si4_m4Dr2_m256.02 6 3695
si4_m4Dr2_m256.09 6 1904
si4_m4Dr2_m256.03 6 2452
si4_b09m_m200.01 4 164
si4_b09m_m200.00 4 135
si4_b09m_m200.03 4 115
si4_b09m_m200.06 4 129
si4_b09m_m200.02 4 1198
si4_b09m_m200.04 4 105
si4_b09m_m200.05 4 129
si4_b09m_m200.07 4 217
si4_b09m_m200.08 4 150
si4_b09m_m200.09 4 391
si4_m4Dr4_m625.07 6 1863
si4_m4Dr4_m625.05 6 1076
si4_m4Dr4_m625.01 6 761
si4_m4Dr4_m625.08 6 32105
si4_m4Dr4_m625.09 6 955
si4_m4Dr4_m625.00 6 3276
si4_m4Dr4_m625.04 6 2421
si4_m4Dr4_m625.06 6 5922
si4_m4Dr4_m625.03 6 46252
si4_m4Dr4_m625.02 6 21441
si4_m4Dr4_m1296.03 6 213642
si4_m4Dr4_m1296.01 6 8905
si4_m4Dr4_m1296.00 6 1000002
si4_m4Dr4_m1296.07 6 75411
si4_m4Dr4_m1296.02 6 6865
si4_m4Dr4_m1296.04 6 9082
si4_m4Dr4_m1296.09 6 24498
si4_m4Dr4_m1296.06 6 8161
si4_m4Dr4_m1296.08 6 9583
si4_m4Dr4_m1296.05 6 22453
si2_r005_m400.05 7 117099
si2_r005_m400.06 7 207480
si2_r005_m400.08 7 1000000
si2_r005_m400.02 7 1000000
si2_r005_m400.03 7 21239
si2_r005_m400.00 7 111937
si2_r005_m400.07 7 118408
si2_r005_m400.09 7 627474
si2_r005_m400.04 7 141338
si2_r005_m400.01 7 1000000
si2_b06m_m400.03 4 114
si2_b06m_m400.06 4 91
si2_b06m_m400.05 4 304
si2_b06m_m400.01 4 179
si2_b06m_m400.00 4 1000000
si2_b06m_m400.08 4 1000000
si2_b06m_m400.07 4 11254
si2_b06m_m400.09 4 53804
si2_b06m_m400.04 4 16624
si2_b06m_m400.02 4 248
si6_r005_m600.02 7 140362
si6_r005_m600.08 7 134931
si6_r005_m600.03 7 62077
si6_r005_m600.05 7 255092
si6_r005_m600.07 7 165262
si6_r005_m600.04 7 58375
si6_r005_m600.06 7 111575
si6_r005_m600.01 7 147733
si6_r005_m600.09 7 102622
si6_r005_m600.00 7 65234
si6_r005_m200.02 7 699
si6_r005_m200.08 7 440
si6_r005_m200.09 7 1161
si6_r005_m200.05 7 663
si6_r005_m200.03 7 1144
si6_r005_m200.00 7 680
si6_r005_m200.04 7 684
si6_r005_m200.07 7 1036
si6_r005_m200.01 7 707
si6_r005_m200.06 7 3963
si2_m4Dr6_m625.06 6 1000000
si2_m4Dr6_m625.08 6 311532
si2_m4Dr6_m625.07 6 1000000
si2_m4Dr6_m625.03 6 19529
si2_m4Dr6_m625.04 6 4361
si2_m4Dr6_m625.05 6 776
si2_m4Dr6_m625.09 6 74466
si2_m4Dr6_m625.01 6 75096
si2_m4Dr6_m625.02 6 3903
si2_m4Dr6_m625.00 6 1000000
