instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
F.04 1 156 747 36588 70943 242937 1000000 1000001 1000001
C.18 1 981 5177 939426 1000007 99868 1000006 7295 1000003
A.04 1 14 100 3878 197 518 164 170 38847
C.02 1 909 59351 1000006 1000003 1000006 57799 1000002 1000008
E.01 1 107 111 2426 492610 1000000 1000000 1000000 1000001
F.20 1 602 20435 1000000 1000000 1000000 1000000 1000000 1000001
B.20 1 223 2896 91551 11599 49041 3416 663324 1000001
C.08 1 1055 65145 1000006 185586 1000007 25451 1000002 1000007
B.11 1 215 3142 45619 1000002 1000001 399048 1000002 2963
C.10 1 928 1000002 169081 1000007 1000007 1000008 1000008 1000004
B.06 1 218 1074 4164 966426 370255 1000003 1000003 851579
F.08 1 404 8786 581550 1000000 1000000 1000000 1000000 1000001
B.07 1 218 147796 653127 1000001 225673 1000002 1000002 1000001
E.04 1 106 379 160707 1000000 1000000 1000001 1000001 1000000
C.01 1 1043 313244 11885 1000006 887671 1000006 1000005 88583
B.10 1 269 3076 63779 1000002 38217 13226 1000002 1000003
A.15 1 14 44 339 68 2664 637 75797 3054
C.19 1 940 267522 1000003 1000006 1000007 1000004 1000005 48644
B.02 1 233 677 12665 12103 308367 1000003 1000002 1000003
E.06 1 109 518 50517 1000000 1000001 1000001 1000000 1000000
E.18 1 106 108 294 23659 564411 1000001 1000000 1000001
C.20 1 876 12541 1000004 1000004 1000006 1000010 1000004 489672
F.02 1 134 410 27235 663915 1000000 1000000 1000000 1000000
F.11 1 127 200 258 1525 2455 374648 1000000 1000000
F.12 1 131 171 660 3696 56713 306940 1000001 1000000
E.05 1 106 1000000 1000000 1000000 1000001 1000001 1000001 1000001
B.16 1 218 566 5723 11984 1000003 21463 23400 1000003
A.08 1 14 58 58 81 199 198 132 10779
C.14 1 872 611462 51982 11461 1000008 1000004 1000002 1000008
F.16 1 132 242 784 78303 784904 1000000 1000000 1000001
F.06 1 169 1209 27267 1000000 1000000 1000000 1000000 1000000
A.03 1 14 37 51 119 1476 76 156 74498
E.19 1 100 118 105 113 105 41837 1000001 1000000
C.15 1 860 41264 23021 1000007 1000006 26648 1000007 1000006
A.16 1 14 136 2013 102 4196 389 8258 1614
B.14 1 271 530 1000001 1000002 4703 30689 1000003 1000003
A.02 1 15 64 47 66 130 215 234 2425
F.14 1 127 169 363 466 7234 213315 1000000 1000001
F.05 1 136 400 4718 69990 576676 1000000 1000000 1000000
B.09 1 257 6616 102238 2071 1000001 19758 8015 1000001
A.01 1 14 42 60 160 75 811 371 10676
C.05 1 829 2371 21792 1000004 1000007 1000003 1000005 1000008
B.01 1 215 7030 2660 6492 18471 1000001 68483 966297
A.09 1 14 125 52 242 99 196 4327 10455
A.07 1 14 32 622 124 298 72 16404 799
F.03 1 125 229 1533 26187 136912 1000000 1000000 1000000
E.12 1 111 111 113 1000000 1000000 1000000 1000000 1000000
C.06 1 839 68597 1000002 1000001 924891 149672 1000002 1000003
C.09 1 820 29762 271154 1000008 107969 1000002 616562 1000004
B.17 1 231 4369 1000002 1000002 160799 1000002 1000001 1000003
C.07 1 935 21291 1000007 1000002 199434 34876 1000003 1000004
E.09 1 105 109 5379 1000001 1000000 1000000 1000000 1000000
E.17 1 113 172117 1000000 1000000 1000000 1000001 1000000 1000001
C.11 1 909 1000006 692659 17785 1000003 1000003 1000008 15196
F.10 1 106 109 111 10546 1000000 1000000 1000000 1000000
A.17 1 14 34 995 62 177 337 297 85608
B.15 1 238 1702 1309 2151 2433 14334 13456 8384
E.03 1 111 107 836 83608 1000000 1000000 1000000 1000000
F.19 1 136 180 1739 6083 185622 979751 1000000 1000000
A.12 1 14 24 784 81 2638 7932 2871 15322
B.08 1 216 4418 528676 8572 39493 1000001 554703 16855
F.17 1 146 343 3091 719495 1000000 1000000 1000000 1000001
C.04 1 900 64535 7439 1000006 1000004 1000009 1000007 1000005
B.19 1 226 4709 44972 321168 165067 1000001 1000001 679140
C.16 1 819 104059 484844 1000006 1000006 1000004 1000003 1000003
C.17 1 906 5800 1000001 267695 1000005 139126 1000008 1000007
E.08 1 118 117 216680 1000001 1000000 1000001 1000000 1000000
F.13 1 280 2335 92858 1000001 1000000 1000000 1000000 1000000
A.20 1 14 82 237 73 70 375 684 14487
E.02 1 107 128 133 102286 1000000 1000000 1000001 1000000
E.16 1 104 108 110 1000000 1000001 1000000 1000000 1000000
B.12 1 220 1808 19489 58100 249471 1000003 1000001 1000002
F.09 1 177 2310 52634 532568 1000000 1000000 1000000 1000001
A.10 1 15 99 11313 108 110 387 28491 701
F.18 1 130 797 10969 883039 1000001 1000000 1000000 1000001
E.10 1 125 205 2021 9263 1000000 1000000 1000000 1000001
A.06 1 14 56 1721 646 433 334 934051 583
E.15 1 107 9592 1000000 1000000 1000001 1000001 1000000 1000001
