instance family
F.04 1 150
C.18 1 1355
A.04 1 34
C.02 1 1366
E.01 1 1000000
F.20 1 162
B.20 1 353
C.08 1 1339
B.11 1 363
C.10 1 1454
B.06 1 348
F.08 1 166
B.07 1 350
E.04 1 1000000
C.01 1 1340
B.10 1 356
A.15 1 32
C.19 1 1325
B.02 1 345
E.06 1 1000000
E.18 1 1000000
C.20 1 1339
F.02 1 151
F.11 1 150
F.12 1 196
E.05 1 1000000
B.16 1 350
A.08 1 23
C.14 1 1380
F.16 1 151
F.06 1 163
A.03 1 23
E.19 1 1000000
C.15 1 1335
A.16 1 24
B.14 1 349
A.02 1 23
F.14 1 162
F.05 1 149
B.09 1 353
A.01 1 24
C.05 1 1322
B.01 1 365
A.09 1 23
A.07 1 23
F.03 1 176
E.12 1 1000000
C.06 1 1416
C.09 1 1345
B.17 1 352
C.07 1 1394
E.09 1 1000000
E.17 1 1000000
C.11 1 1393
F.10 1 1000000
A.17 1 23
B.15 1 355
E.03 1 1000000
F.19 1 146
A.12 1 24
B.08 1 347
F.17 1 149
C.04 1 1343
B.19 1 365
C.16 1 1420
C.17 1 1350
E.08 1 1000001
F.13 1 153
A.20 1 34
E.02 1 1000000
E.16 1 1000000
B.12 1 444
F.09 1 150
A.10 1 25
F.18 1 153
E.10 1 147
A.06 1 35
E.15 1 1000000
E.07 1 1000000
E.11 1 1000001
B.03 1 351
B.18 1 377
C.03 1 1336
A.18 1 24
F.15 1 175
A.19 1 24
C.12 1 1333
B.05 1 366
A.13 1 24
A.05 1 24
F.01 1 146
E.20 1 1000000
B.13 1 346
A.14 1 24
B.04 1 353
C.13 1 1347
F.07 1 146
E.13 1 1000000
E.14 1 1000000
A.11 1 23
si6_r005_m400.07 7 20780
si6_r005_m400.00 7 17809
si6_r005_m400.01 7 8079
si6_r005_m400.02 7 6259
si6_r005_m400.04 7 7217
si6_r005_m400.05 7 25736
si6_r005_m400.09 7 4433
si6_r005_m400.03 7 14830
si6_r005_m400.06 7 5073
si6_r005_m400.08 7 6744
si6_m4Dr6_m625.04 6 247
si6_m4Dr6_m625.01 6 287
si6_m4Dr6_m625.09 6 248
si6_m4Dr6_m625.07 6 337
si6_m4Dr6_m625.00 6 249
si6_m4Dr6_m625.08 6 282
si6_m4Dr6_m625.05 6 242
si6_m4Dr6_m625.06 6 238
si6_m4Dr6_m625.02 6 249
si6_m4Dr6_m625.03 6 255
si4_m4Dr2_m625.09 6 255
si4_m4Dr2_m625.04 6 181
si4_m4Dr2_m625.02 6 181
si4_m4Dr2_m625.07 6 159
si4_m4Dr2_m625.00 6 165
si4_m4Dr2_m625.08 6 165
si4_m4Dr2_m625.01 6 165
si4_m4Dr2_m625.06 6 165
si4_m4Dr2_m625.03 6 183
si4_m4Dr2_m625.05 6 171
si2_r001_m600.00 7 735
si2_r001_m600.06 7 607
si2_r001_m600.04 7 1216
si2_r001_m600.07 7 417
si2_r001_m600.02 7 206
si2_r001_m600.08 7 1068
si2_r001_m600.03 7 356
si2_r001_m600.01 7 147
si2_r001_m600.05 7 283
si2_r001_m600.09 7 1709
si2_m4Dr2_m256.09 6 14
si2_m4Dr2_m256.03 6 144
si2_m4Dr2_m256.04 6 16
si2_m4Dr2_m256.07 6 14
si2_m4Dr2_m256.00 6 14
si2_m4Dr2_m256.06 6 42
si2_m4Dr2_m256.08 6 13
si2_m4Dr2_m256.05 6 13
si2_m4Dr2_m256.01 6 13
si2_m4Dr2_m256.02 6 13
si6_r001_m600.09 7 275
si6_r001_m600.00 7 388
si6_r001_m600.07 7 393
si6_r001_m600.03 7 331
si6_r001_m600.01 7 281
si6_r001_m600.06 7 287
si6_r001_m600.08 7 371
si6_r001_m600.02 7 289
si6_r001_m600.04 7 276
si6_r001_m600.05 7 295
si2_m4Dr2_m1296.05 6 751
si2_m4Dr2_m1296.09 6 788
si2_m4Dr2_m1296.02 6 1094
si2_m4Dr2_m1296.07 6 751
si2_m4Dr2_m1296.00 6 745
si2_m4Dr2_m1296.06 6 766
si2_m4Dr2_m1296.08 6 864
si2_m4Dr2_m1296.01 6 771
si2_m4Dr2_m1296.03 6 779
si2_m4Dr2_m1296.04 6 742
si4_b06m_m800.08 4 318
si4_b06m_m800.00 4 310
si4_b06m_m800.06 4 305
si4_b06m_m800.05 4 326
si4_b06m_m800.04 4 307
si4_b06m_m800.09 4 308
si4_b06m_m800.01 4 312
si4_b06m_m800.07 4 344
si4_b06m_m800.03 4 327
si4_b06m_m800.02 4 359
si6_m4Dr2_m625.08 6 242
si6_m4Dr2_m625.09 6 261
si6_m4Dr2_m625.05 6 247
si6_m4Dr2_m625.01 6 239
si6_m4Dr2_m625.06 6 233
si6_m4Dr2_m625.00 6 286
si6_m4Dr2_m625.03 6 234
si6_m4Dr2_m625.02 6 246
si6_m4Dr2_m625.07 6 236
si6_m4Dr2_m625.04 6 239
si2_m4D_m1296.01 5 860
si2_m4D_m1296.08 5 662
si2_m4D_m1296.06 5 893
si2_m4D_m1296.05 5 664
si2_m4D_m1296.09 5 668
si2_m4D_m1296.03 5 762
si2_m4D_m1296.07 5 689
si2_m4D_m1296.02 5 688
si2_m4D_m1296.04 5 800
si2_m4D_m1296.00 5 659
si4_b03_m800.05 3 383
si4_b03_m800.00 3 358
si4_b03_m800.08 3 376
si4_b03_m800.09 3 358
si4_b03_m800.03 3 420
si4_b03_m800.02 3 358
si4_b03_m800.04 3 359
si4_b03_m800.01 3 486
si4_b03_m800.06 3 402
si4_b03_m800.07 3 418
si6_m4D_m1296.02 5 1490
si6_m4D_m1296.07 5 3440
si6_m4D_m1296.05 5 2714
si6_m4D_m1296.09 5 4153
si6_m4D_m1296.00 5 344125
si6_m4D_m1296.08 5 2744
si6_m4D_m1296.04 5 1609
si6_m4D_m1296.06 5 3362
si6_m4D_m1296.01 5 624065
si6_m4D_m1296.03 5 15263
si6_r001_m200.05 7 16
si6_r001_m200.09 7 26
si6_r001_m200.07 7 21
si6_r001_m200.02 7 15
si6_r001_m200.01 7 22
